review_title,review,sentiment
Amazing company,{ Pros. Great pay and pension with awesome co workers } { Cons. none at all it has been a great road },0.92
Review,{ Pros. Pay and compensation are Compatible with other large companies. Diversity and inclusion. Training and knowledge } { Cons. Layoffs can be an issue with oil and gas companies. Sometimes too much politics in the office },-0.1
none,"{ Pros. benefits, retirement, and advancement within the company in your profession or others } { Cons. communication is non-committal, management has a tendency to be forthright in certain cases and be a shrinking violet in others. they are afraid for their job. }",0.57
Good people,"{ Pros. Worked with a great team, had a good boss had the chance for over time. } { Cons. The company itself doesn't care about you and the customers suck my hand was almost broke because of one. }",0.63
Worse company ever,"{ Pros. Pay was okay, but hours were long } { Cons. The people, culture, and atmosphere were atrocious }",0.06
Great company to work for,"{ Pros. - supportive and nice colleagues - flexible working arrangements - good pay - overall great team that supports each other } { Cons. - the industry was tough in recent years, not a Chevron specific problem, they did better than many }",0.93
Good place to work,"{ Pros. Employees are very friendly. Culture encourages diversity and inclusion. As company they try to lead the industry with latest technologies } { Cons. Company is too big, will take time to get the promotion. After recent reorg, employees are getting adjusted to the new culture with the org. }",0.77
"DO NOT GIVE A DAMN ABOUT IT'S PEOPLE, LOYALTY IS A ONE WAY STREET","{ Pros. The only benefit is the $$. } { Cons. Management talks a good game but doesn't lead by example. Non IT management running IT, they are completely out of touch with reality. More concerned with their PMP/Bonuses than with their people.1 person found this review helpfulHelpfulShareRepor }",0.45
Great Company,{ Pros. Professional environment to work at } { Cons. Heavy work schedule during Turnarounds and start ups },0.0
Opportunities and growth over a rewarding career,{ Pros. Development and growth opportunities International exposure Many roles within one company Strong relationships Ability to make a difference and do good work } { Cons. Can be bureaucratic and a challenge to keep things simple. Decision making is an area we’ve been working for many years and difficult to get traction at an enterprise level. },0.89
Chevron Review,"{ Pros. Flexible work schedule and focused on employee satisfaction. Lots of collaboration between platform resources and people are always willing to help out. } { Cons. Too focused on ""by the book"" evaluation. Does not matter how much value you add if you don't write specific goals and fulfill those goals. Finished your project early but haven't completed trainings? ""Needs improvement"". }",0.91
Good company,{ Pros. Good pay and benefits. Job can be a lot of responsibility but in general the good company culture helps manage it well. } { Cons. Some teams may not reflect the best of the company. },0.78
It was a good experience good tips and easy work. Get to see alot of different ppl and that's kinda cool.,{ Pros. Youll receiveTips if your not an A-hole and easy work } { Cons. No real way to move up or make more money aside from tips which for the most part are random },0.18
Software Engineer Internship,{ Pros. Chevron really cares about a work/ life balance. They put their people first. They make interns feel like full time employees. } { Cons. It's a big company so it is easy to feel lost. },0.77
Good,{ Pros. A company that really values work-life balance } { Cons. Takes a while to get anything due to many levels of managment },0.46
Bureacracy,"{ Pros. Benefits, work/life balance, stability, and culture/values, resume builder. This is specific to the Midstream organization. } { Cons. Lack of diversity and bureaucracy in top ranks, career opportunities only exist for those employees that fit ""the mold"" other than that you have to follow the lead and continue to get passed over. This is specific to the Midstream organization. }",0.74
Great company!,"{ Pros. Culture and people, growth and development, international opportunities } { Cons. Sometimes work long hours/don't take my 9/80s }",0.64
review for chevron,{ Pros. was happy that i had a job } { Cons. wasnt busy enough. i like fast pace },0.74
Fine first job.,"{ Pros. It was a relatively straightforward job for someone who had never worked before. You changed the signs, rang up customers, and cleaned. Manager was also quite nice. } { Cons. I don't know if management would have been able to do anything about this, but a lot of customers tended to be inappropriate towards me and as a younger person, it made me feel unsafe and uncomfortable. }",-0.33
great organization with challenging projects,"{ Pros. great people here, engineering team has a great community feel, } { Cons. funding can be a challenge, mid level career prospects can be limiting }",0.89
Good company,"{ Pros. I had a great store and nice customers, it was a good experience for me. } { Cons. I wouldn’t have too many cons besides the manager. She didn’t know what she was doing. }",0.87
Great Management,"{ Pros. They were very flexible with my schedule. Management was understanding. I received a rais after being there a couple of months. } { Cons. Management allowed drama, you had to stand the entire shift without a break. Some workers wouldn't work while the other half had to take up their slack. }",0.29
Great company,"{ Pros. good, honest, smart, caring people } { Cons. slow decision making and hard to make changes. }",0.89
Chevron Life,"{ Pros. Its a good company and the people there are generally nice and helpful. They do you have work life balance and they actually mean it. They encourage you to transfer to different job about every 3 to 4 years, so you can learn more about the company and grow your skills. I loved working there } { Cons. The pay is ok, its may be a little lower compared to some companies, but they make up for it other benefits, pensions, stocks, and stable work place most of the time. they do have reorganizations about every 4 years depending on the market and Oil/Gas prices1 person found this review helpfulHelpfulShareRepor }",0.92
Good company,"{ Pros. There is a good work life balance, benefits, and culture and the compensation is good for the location. Large technical resource pool and leadership. } { Cons. The cons are that the oil and gas industry is cyclical and so layoffs do happen. There is also a traditional culture so no fully remote opportunities.1 person found this review helpfulHelpfulShareRepor }",0.67
Great work culture,"{ Pros. - Great work culture, WLB - Opportunities to advance - Good compensation } { Cons. - It's an oil and gas company in the time of climate change - IT compensation is not on par with big tech }",0.86
Drilling Engineer,{ Pros. Work life balance Fridays off Rotational schedule Benefits Good company Networking } { Cons. Stress Schedule Management Oil and gas life Pay Salary Mobility },0.32
Chevron,{ Pros. Good culture and working environment } { Cons. Highly influenced by oil price },0.44
Decent company with decent benefits,"{ Pros. Great benefits and compensation can’t complain } { Cons. Too many processes, hard to get things done }",0.59
Great company,{ Pros. Nothing to say. It’s Great } { Cons. Not bad. Great company to work for },0.57
Chevron Benefits,{ Pros. 9-80 schedule Hybrid schedule(Monday and Friday work from home) 8 weeks bonding 40 hrs family care 8%401k match } { Cons. 2 weeks starting vacation for new hires },0.49
"Great compensation, but unconscious bias still very much a thing.","{ Pros. Excellent compensation, job rotation every 3-4 years. } { Cons. Even though the tools are in place for unbiased performance evaluations, unconscious bias still plays a big role in job selections. }",0.64
Great Company!!,"{ Pros. Compensation, benefits, people, development opportunities, global } { Cons. Work life balance Risky Industry }",0.53
good,{ Pros. everything that is resnabol to be good } { Cons. nothing much not a lot of fun },0.74
Dependent on contractors to do the work rather than employees.,{ Pros. Open work place. Large institution } { Cons. Treat contractors very differently to employees. },0.4
Facilities Engineer,"{ Pros. Chevron had very good pay and benefits. Coworkers were good to work with. } { Cons. They tended to move people around a lot. Fun when you are young, but it gets old. }",0.69
Chevron IT,"{ Pros. Great place for growth and being challenged to stretch your abilities and learn new skills. Treated like an adult with work schedules, time management and job responsibilities } { Cons. Every three to five years there is a change in direction/strategy that can be very disruptive. }",0.8
Best place ever,"{ Pros. Amazing workplace for someone in my profession } { Cons. Still not in person post covid, I miss people }",0.49
Good Employer,"{ Pros. Empowered environment, profit sharing compensation plan } { Cons. Operations Processes can be very bureaucratic and cumbersome }",0.69
.,{ Pros. consistent pay and work environment } { Cons. working your way up isnt based on merit. more so about who you know more than other companies i have worked for },-0.41
"bureaucratic mess, good benefits","{ Pros. Decent salary and good benefits. People are generally nice. Can be really cushy if you're OK just doing the minimum to get a good review/bonus. I think the happiest people are the ones who find a sweet spot and ride things out for a long period (long-term benefits are great). } { Cons. We're in a slowly dying industry and lack a clear direction forward. This is reflected in our inability to attract and retain talent from top universities. Think to yourself, why would an engineer from Stanford go to Chevron instead of a tech firm? Internally, we have an exhausting bureaucracy that is highly political and difficult to navigate. At the heart, this is an engineering company, and it is presumed that engineers can do anything. In an era of changing dynamics and enormous pressure from investors and policymakers to move away from fossil fuels, the old school engineer mentality could end up being our downfall. If you're not an engineer (i.e., you're a market analyst, economist, climate person) I'd recommend staying away--you're career path will likely be limited here, and you'll be frustrated by the slow pace, extra work to deal with enormous overhead, and lack of clarity on our goals.1 person found this review helpfulHelpfulShareRepor }",0.98
The Chevron Way,"{ Pros. Everyone is nice and treats people decently. Smart people, good colleagues } { Cons. Rigid systems and staunch culture. Either your a fit or your not and if your not don't expect to be told, just shown the door in the next reorg/game of musical chairs. }",0.86
Great company with great benefit,"{ Pros. Great benefit for full time employees with fantastic 401k matching } { Cons. High workload, still considering remote working after the pandemic. }",0.89
na,{ Pros. Great company for work life balance } { Cons. Opportunities for management roles are limited },0.7
VERY GOOD COMPANY,"{ Pros. PEOPLE, teams, work life balance } { Cons. how is organized, systems, salaries }",0.0
I liked it work at my workplace.,{ Pros. Loved my Job because is dealing with customer it make me happy. } { Cons. Is hard to get Flexible hours. },0.84
Be polite and approach the customers when they come in ....im not a rude or disresectful person,{ Pros. Im a very sociable. And love to communicate that one thing i do he is very good communication skills } { Cons. Bite your tongue. Because there are going to be times when you will here some rude customers come in.. },0.83
Great Company to work for,"{ Pros. Good people, good store, good job } { Cons. You do the same thing every day }",0.83
DO NOT WORK HERE,"{ Pros. Sometimes you will get more hours, and you work by yourself, } { Cons. No full time hours available, cant use sick hours since there are only a small number of people working, dealing with drunk/high people a lot, dealing with angry customers a lot, a lot of homeless people come by try to lay down by the store or steal something, owner doesn't care about fixing the pumps or the employee bathroom, the manager will bend over backwards for any customer but wont protect their own employees from harrassment, HR doesnt care either and will only protect the manager since she's their lapdog and will do whatever they say, HR will get mad at you for clocking in 2 or 3 minutes too early and counts that as ""overtime"". There is no employee break room, so you'll have to hang out in the soapy Joe's break room, There is no room for promotion, even one of the other cashier's that has been here for 4 years makes the same amount as someone working there for 1 year, due to the owner wanting to save more money in his pocket. Even everything in the store went up by .30 cents and the gas a few months ago was $4.19 to $4.79. I have a bad feeling this store will be going out of business in the next 2 years.1 person found this review helpfulHelpfulShareRepor }",-0.94
Mixed feelings!,{ Pros. Great salary and bonus pay! } { Cons. They aren’t fair to African Americans over 55. Targeted during layoffs. },0.87
Selfish,{ Pros. You get to work alone you have your space to learn at your pace } { Cons. You can't call in if needed cause sick or family emergency doesn't care about your needs as a human },-0.86
Great place to work,"{ Pros. Good people. Interesting work. Great salary. } { Cons. Constant reorgs, transformations, etc. Volatile industry subject to whims/trends. }",0.87
Good,"{ Pros. Good benefits, generous training, good work environment } { Cons. Lay-off every 2 years, sink or swim environment }",0.89
Chevron Great place to work,{ Pros. Awesome management and diverse group of people } { Cons. Big company and a lot of moving parts },0.62
Top company and best place to work.,{ Pros. Excellent company culture and good pay and benefits. } { Cons. Only the best prospects will be hired. You must be top of your class or profession to get hired. },0.94
a good place to work if you can fit in with the culture,"{ Pros. highly competent people interesting work good pay and benefits great retirement benefits } { Cons. too much process - almost impossible to do anything quickly and efficiently culture is very old and set in its ways, highly resistent to change very difficult to advance your career if you're over 40 international job opportunities have been greatly reduced to save money }",0.97
Grate boss/staff,{ Pros. pay is grate (above min wage) grate boss grate to get schedule early and as often as you want. } { Cons. very busy gas station and auto repair business (not much down time) },-0.03
Great Company,"{ Pros. Great culture, excellent leadership. Truly aspires to be the energy company most admired for it people, culture and leadership } { Cons. Energy industry has become challenging lately, resulting in restructuring and cutting cost }",0.96
"Below Average salary but great work life balance, decent benefits and lots of exciting new opportunities","{ Pros. 401k match, work life balance, flexible work schedules } { Cons. Below average salary, poor talent management }",0.15
middle of the road company in terms of creativity.,{ Pros. They want to do creative work } { Cons. They don't know what creative work is },0.2
Good place to work,{ Pros. Great benefits and lots of career development opportunities for those who are willing to work and grow their skills. } { Cons. Extremely limited opportunity to work fully remote },0.88
**,{ Pros. 401k program medical benefits/ insurance trainin & development } { Cons. lack of progression for experienced hires },0.08
Cdl driver for chevron,{ Pros. Good company pays well and easy to manage } { Cons. Nothing bad to say but you never know when you will get called in to work },0.66
A life changing experience,{ Pros. Great working environment and many extra activities / groups available If you able to get to right people there are overseas jobs opportunities } { Cons. Management tends to lose contact with personnel Too big too many },0.61
Human value,{ Pros. Working towards delivering results in right time } { Cons. Senior managers resistant to change },0.0
CRE in Oil Companies,{ Pros. Exposure to several aspects of commercial real estate } { Cons. Not a core function of the company },0.0
California Energy Company,{ Pros. Plenty of opportunities to have responsibility on large initiatives or projects. } { Cons. Messy organizational structure and corporate PC push is so strong it's almost laughable. },0.64
Chevron's promotes a positive work environment.,"{ Pros. Motivate employees to pursue education, accept challenging work assignments, and use errors to your advantage for improvement. Strongly emphasis regarding understanding and accepting diversity. Awesome work schedules. } { Cons. Should consider mandatory participation in financial savings programs for employees. }",0.95
Feels like home,"{ Pros. - Employees around you try their fullest to make you feel welcome - Lots of understanding for personal issues and can take time off when needed - Good work/life balance } { Cons. - Much like with large businesses, lots of slow moving projects due to the nature of lots of different groups }",0.81
Good and bad,{ Pros. Best job I ever had. } { Cons. Energy industry is very volatile. In the tough times the re-org and you could loose your job. },0.54
A great place to work,"{ Pros. Genuinely congenial atmosphere (at least in my business unit), outstanding work-life balance, interesting work. } { Cons. It's a big company, and can be overly bureaucratic at times, but I suspect all large companies can be this way. }",0.14
Great Company & Culture,"{ Pros. Great company and culture. The Chevron Way is a very big part of that. } { Cons. Very process heavy which would often bog down decisions, lots of churn and recycle instead of forward progress. }",0.78
Don't work here,"{ Pros. None; pay was minimum wage without any other benefits. } { Cons. During interview, asked for part-time employment day shift but was given full-time nights. Management is poor at passing information to employees; management accuses employees of theft and fighting with little to no evidence.1 person found this review helpfulHelpfulShareRepor }",-0.92
Great company,{ Pros. career development; 401(k) matching; pension } { Cons. corporate politics can be difficult at times },-0.36
Honest Opinion,"{ Pros. Good Pay, Industry leading benefits, Challenges abound } { Cons. Poor IT management, Overload on collaboration, slow upward movement }",-0.05
Great company!,{ Pros. Cares about people and its employees. Lots of innovation across the company. Great opportunities to move within and build a career through different positions in different business units. } { Cons. Some people consider Chevron a bad company because of oil & gas },0.83
"Excellent Place to Work, be willing to relocate","{ Pros. Salary, Benefits, Vast source of knowledgeable individuals } { Cons. Normally required to move or change jobs frequently }",0.38
Not the best place to be,"{ Pros. Decent compensation and ok bonuses as long as you are not support staff } { Cons. Nepotism runs rampant, let go of too many people, contacts in key positions are not there leaving gaps in processes, everyone is overloaded. Zero advancement for administrative staff1 person found this review helpfulHelpfulShareRepor }",0.55
great,{ Pros. false narratives drive the process. } { Cons. true gains come from work },0.64
Great employer,{ Pros. great employer for first job. } { Cons. Commute is inconienvent now office is in energy corridor },0.74
Good company,"{ Pros. Good salary and benefits, 9/80 schedule, } { Cons. Recent reduction in workforce without reduction in work load }",0.67
Young Engineers,"{ Pros. Great people, benefits, opportunities, and overall a healthy company culture. } { Cons. Very crowded and limited upward mobility. If you are hired in D&C, expect 4 - 6 years in the field before going to the office. }",0.87
Solid company,"{ Pros. Stable, inclusive, equitable, starting to be more progressive } { Cons. Fossil fuel focus, economically challenged }",0.2
Process Automation Engineer,"{ Pros. Great company culture, great benefits, great pay, lots of opportunities if you're willing to move around } { Cons. most of the locations are undesireable, but if you can look past that, it's a wonderful company and you can have a long, fulfilling career }",0.93
Good benefits,{ Pros. Excellent benefits and PTO for experienced professionals } { Cons. Too many processes especially ETC SMEs causing slow down in business units },0.74
CVX - Human Energy,"{ Pros. Good company with great compensation package, health benefits, and pension plan. } { Cons. More emphasis on D&I than merit unfortunately. }",0.88
Facilities engineer,{ Pros. They have great people working there } { Cons. can get stuck in places },0.48
Leading,{ Pros. Major player in oil and gas } { Cons. None to mention at this point },0.0
Good times at chevron,"{ Pros. Great atmosphere beyond what I could hope } { Cons. Long hours, hot sun, cold winters }",0.79
Review,"{ Pros. Receive regular raises, union membership. Extended time off every 6 weeks or so } { Cons. Rotating shifts from days to nights. }",0.0
Good small town business,"{ Pros. Good pay, nice coworkers, and sufficient time off when you are sick. } { Cons. A great deal of cleaning and the occasional rude customer were the only down sides ..but if you like to clean like I do, it is good. }",0.94
Pascagoula Refinery Great Place and People,"{ Pros. Top Tier Talent and Challenging Opportunities. Compensation is good and working environment collaborative and supportinve } { Cons. Not many cons. As with all companies as you move up in an organization, there are fewer numbers of opportunities for the next role as long term employees stay in senior leadership roles. }",0.91
Great Place to work!,{ Pros. Plenty of opportunities to navigate the company and try different roles. D&I is a huge value here and they leverage ERGs to progress the companies D&I agenda. } { Cons. Huge company and sometimes hard to navigate unless your in a specific development program. Lack of diversity in leadership above middle management. },0.83
Great company to work for,{ Pros. - Progressive - Vast assets - Friendly culture } { Cons. - Far from Sacramento - Job not stable due to being a contract employee },0.46
CSI training,{ Pros. meet a lot of people } { Cons. long when it's Slow... @ the station },0.0
Critical Systems Manager,{ Pros. Compensation and benefits work life balance Employee benefits } { Cons. none i! can think of },0.67
Great Place To Work,"{ Pros. Values People, Environment, Safety, and Innovation } { Cons. I have no cons to report. }",0.71
Excellent company to work for,"{ Pros. Good growth prospects, benefits, work culture, professionalism. } { Cons. None that I experienced so far. }",0.85
Made procedures for drilling oil wells,{ Pros. High pay with every other Friday off. } { Cons. Hard hours with 24 hour coverage at times },-0.2
customers=bad,{ Pros. im not sure at this point } { Cons. customers suck. customers are never right1 person found this review helpfulHelpfulShareRepor },-0.59
Fun,{ Pros. Worked a lot but paid well } { Cons. asked us to travel to undesirable places },-0.3
Chevron,"{ Pros. Work life balance, global opportunities } { Cons. PSG limitations, lack of transparency }",0.08
Stand all day and super slow,{ Pros. When it was pay day. } { Cons. Not much to do besides help customers and make coffee. The time goes by veryyyyyy slow. },0.32
Geophysics,"{ Pros. Innovation, team work, horizon training } { Cons. Relationship, office politics, too many meetings }",0.38
Great culture & learning opportunities,"{ Pros. They value professional growth, and employees are frequently (every 1-3yrs) moved around to gain experience and exposure to a variety of business segments and functions. They are building out internal competencies in the digital, analytics, and AI that you can get involved in, even without much experience. Total compensation package is very competitive (base+bonus+benefits+pension+multi-year relocation). } { Cons. It is a large organization, which includes the frustrations of large organizations (slow to make decisions, unhelpful IT, difficult to find the person you need) }",0.6
Good company with room for room for improvement,{ Pros. Great company with good Benefits Pay is okay Work life balance } { Cons. Could do a better job with adopting technology Some management can do better },0.94
Review,{ Pros. Compensation and benefits are great. } { Cons. Work life balance is challenging but improving. },0.81
"Racist Company, a lot of favoritism","{ Pros. Really good salaries and benefits } { Cons. Racist Company, a lot a favoritism. Passive aggressive management1 person found this review helpfulHelpfulShareRepor }",0.4
Good company,{ Pros. Great benefits regarding health insurance. } { Cons. You must know somebody to progress on your career. },0.86
Career Option,"{ Pros. Compensation and company 401K match are good. Salaries are fair, but you will have to work up the ladder and earn your keep. } { Cons. Bureaucratic. Mid-level management is definitely hit or miss...had some good ones and had some bad ones. Required to move more frequently if you want any higher level position at the company. }",0.69
Great place to work,"{ Pros. Salary, overtime opportunity, people who care } { Cons. Big corporation and everything that comes with that }",0.72
Really dairy,{ Pros. Really dairy in there fun } { Cons. Sometimes too much dairy in there },0.51
Plenty of opportunities to move to other positions,{ Pros. Lots of opportunities to move around including overseas } { Cons. Routine plant operational problems due to poor work ethic. },-0.49
Chevron,{ Pros. Outstanding culture of performance and integrity. } { Cons. To much processes in place that restrict growth and creativity. },0.85
It’s good,"{ Pros. Benefits, work life balance, broad scope } { Cons. Bureaucracy, complexity of organization, slow pace of advancement }",0.38
Good corporate culture,"{ Pros. Pay, benefits, perks, bonus, pension, work culture, autonomy } { Cons. Big corp, meeting culture, cumbersome, business downswing }",0.69
great company,{ Pros. great work life balance at all locations! } { Cons. none - a very great company to work for },0.87
Would not recommend,{ Pros. High starting salary and bonus } { Cons. Unsafe place to work if you are a minority },0.54
Great company to work for,"{ Pros. Good salaries, strong management, great benefits } { Cons. Too many reorganizations, competitive, I don't agree with the way the company does performance reviews }",0.91
