date;employee_title;employee_status;review_title;pros;cons
2021-08-25;Measurement Automation Technician;Former Employee, more than 1 year;Deceiving and dangerous management;"Lots of different challenges, out of town projects and assignments.
";"Everything else. Spend over a week out of town jumping thru hoops to make a project work out because a project manager dropped the ball? Yep, you'll be told to do that. Leave town often to finalize, perform electrical inspections, program RTUS, coordinate and lead contractors, then finally perform point to point checkouts and report daily? Yep you'll be told to do that. Even tho an electrical inspector is sleeping in his damn truck, you'll need to do that because none cares. Inspect all pneumatic tubing, reverse engineer faulty designs, set up control valves, both gas and liquid with NO TRAINING!!! It had better work, or it's your but t. Do multiple tasks with liability on you, with little to no support from ""management"" and you'll probably fail. Then you will be fired. They are required to provide you with ppe. After two years, never received my electrical gloves. Got tired of asking. At first, they cost too much money. Then they forgot. This department is a disaster you will REGRET. they have zero leadership and are 100% looking out for thier golden ladder. Do your self a favor and STAY AWAY!!!!. Can't believe I left a decent job at p 66 for this sham. I wanna go back to my I&E job. Enterprise is all about the$$$$$$$$$$$ to those up top. Everyone else is disposable. No bonuses for anyone other than the salaried, they brag about record quarterly earnings, you might get a 2.5% ""cost of living adjustment"" if you're lucky. There is no end of year review process, and the departments can do that if they want, however they want, or not at all. You're kept in the dark on most everything, and really are not a part of a workgroup. Required training (CPR, fire extinguisher, etc...) needs to be scheduled by you, and kept up with by you, and if they need you out of town you'll need to reschedule. This often leads to being out of compliance on these, and.... its ON YOU! A culture of fear is how they run the company, every policy has the term ""up to and including termination"" for a reason. I never had one single infraction and was fired out of nowhere. Just don't work here
"
2021-08-30;Commercial Analyst;Current Employee, more than 1 year;Expect work on PTO;"very talented people work here
";"No WFH flexibility, very hard to advance, information is not shared between groups, expected to work on PTO
"
2021-09-01;Anonymous;Current Employee, more than 8 years;Pro/ con;"If you got good people you work with it is good
";"Not transparent across the groups
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;Pipeline Technician;Current Employee;Great company;"Great people and freedom when working get your job done is all they ask
";"Hard to move Position if your good at your job
"
2021-07-17;Anonymous;Current Employee;Excellent Company;"Benefits, atmosphere, PTO, profit sharing, 401k
";"Mundane, after hours calls, turnover
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-21;Pipeline Integrity Engineer;Former Employee;Growing Company, Fast paced, lots of work;"Growing Company, lots and lots of work to be done, expect to be pressured to stay late, they run a lean staff, but the company is very financially stable.
";"Having to work in Houston, the weather, beatings will continue until morale improves type of place.
"
2021-06-08;Senior Pipeline Operator;Current Employee;Great company to work for;"Pay, benefits, shiftwork, coworkers, safety culture
";"Opportunity to move up in company
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-01;Senior Analyst Business Systems;Current Employee;Stable job and flexible work hours;"Stable job and flexible work hours
";"Low salary, no growth, limited training
1 person found this review helpful
Helpful
Share
Repor"
2021-05-25;Manager;Current Employee, more than 5 years;Exceptional;"Great place to learn and work in a fast paced environment
";"Nothing significant to report currently
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-13;Senior Project Engineer;Current Employee, more than 5 years;Great Company Overall;"Great Pay and Benefits... Open Door policy . Nice office Environment, promote from within.
";"Diversity and Inclusion in management
"
2021-05-10;Mechanical Trainee Tech;Current Employee;great company to work for;"great company to work for
";"Hard to advance out of trainee position
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-05;Senior Lease Analyst;Current Employee, more than 8 years;I work with some amazing people!;"They offer great benefits and retirement match
";"There are few not so great leaders
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-30;Technician;Current Employee, more than 8 years;Great company;"Great company to work for.
";"The only con that you do not work here.
"
2021-04-17;Manager;Current Employee;Good enterprise;"Loyal leadership, bonuses, salaries are paid on time
";"For me the location, it took me 2 hours to get there
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-11;Shift Supervisor;Current Employee, more than 8 years;Awesome place full of opportunity;"Salary here is great. Management is great. They really listen to the needs and concerns of the employees.
";"For new hires, getting to top pay can take a while. Not everyone gets a full raise every year, but everyone does get a cost of living.
"
2021-04-10;Engineer, Development Program;Current Employee, more than 1 year;Awesome;"I love working for enterprise!
";"Day to day stress can vary depending on the group you work in.
"
2021-04-01;Pipeline Technician;Current Employee;Great Company Could be more transparent;"Good pay and good management
";"More transparency would go a long way
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-21;Pipeline Operator;Current Employee, more than 3 years;Pipeline Operator;"Pay is awesome, they are veteran friendly, great time off benefits, 6% match 401k with additional 4% added from company.
";"Nothing that I can think of
"
2021-03-22;Senior Safety Specialist;Current Employee;Love my job;"Love my job, best job I have ever had.
";"No downsides other than the area.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-26;Operations;Current Employee;Good environment;"Good people. Good training. Good benefits.
";"Have yet to find a con.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-28;Manager;Former Employee, more than 8 years;Beware;"Many good people with a high level of professionalism work there, but that can be found in any company this size. The benefits are good.
";"Cronyism and nepotism are rampant. The leadership is weak and stingy. There are NO policies that would protect employees from unscrupulous management. No trust in nor regard for employees that I could see and I was there for several years. The starting pay is high for the area but below their competitors so the best talent goes elsewhere. Raises are small for the average employee so if you accept a position here I would recommend negotiating the highest starting wage possible, get a few years of experience in the industry, and get out. Several departments have this kind of revolving door with a 1-2 year turnaround. Money seems to be the only thing management cares about, and they make lots of it, but it does NOT trickle very far down from the top.
"
2021-03-17;Pipeline Technician;Current Employee;A very professional place to work.;"Has a very competitive salary
";"I really cannot think of any
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Crude Driver;Current Employee, more than 5 years;Don’t care about family time;"Good pay, benefits, and new equipment
";"They don’t care about family time. Will send you out of town to work but they don’t pay you anything extra. Your per diem is reimbursed for only what you spend
"
2021-02-27;EDRP;Current Employee;Rotational Engineer;"Great opportunities and great people
";"Fast paced and lean. This is a pro and a con depending on how you look at it
"
2021-01-15;Rotational Engineer;Current Employee;Fast Paced Work;"Enterprise moves quickly and gives its young engineers lots of responsibility and opportunities to learn. The organization is also fairly flat giving you decent insight into how management decisions are made.
";"Fast paced work can sometimes lead to unrealistic expectations from people outside of engineering and require long hours.
"
2021-04-26;Distribution Supervisor;Current Employee;Great place to start;"Experience, education, growth, challenging, productive
";"Work life balance is non existent
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-04;Pipeline Technician;Current Employee, more than 10 years;Great place to work;"Always something to work on
";"Driving long distances during shift to maintain pipeline equipment
"
2021-01-20;Senior Lease Analyst;Current Employee;Good company, old school mentality;"Strong stable company that is growing
";"Upper management has old school mentality that makes some issues harder then they should be
"
2021-02-07;Coordinator;Former Employee, more than 3 years;Great place to work;"Structure in place for growth Benefits
";"No cons on the company
"
2021-04-16;Controls Engineer;Former Employee, more than 5 years;Micromanager;"Good pay, great people, good benefits
";"Complete micromanagement resulting in many not taking innitive
"
2021-01-18;Plant Operator;Former Employee, more than 1 year;Overall great company.;"Good pay, great benefits, great 401k match.
";"Minimal opportunity to promotion, may have to move to another location.
"
2021-01-11;Lead Document Control Specialist;Current Employee;Awesome Place to Work;"Friendly environment and helpful employees
";"Parking and commute can sometimes be an issue
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-11;Operator;Current Employee, more than 8 years;Great company;"This is the best company ever.
";"I have no cons to offer.
"
2020-12-21;Anonymous;Current Employee, more than 10 years;Came to enterprise with a little experience and have gained more over the years;"The pay is very good
";"There are no bonus’s for operations
"
2021-05-07;Ops Supervisor;Current Employee, more than 5 years;Ok;"Pays is ok but could better
";"Managment needs to be replaced
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-04;Communications Engineer;Current Employee, more than 1 year;Great place that will treat you well;"They have great benefits and a good culture. Management is good with lots of room to move within the company and stay to make a career there. You get what you put into it.
";"Expect to stay busy, busier than you may want at times. You get what you put into it.
"
2021-04-19;Sales;Former Employee;Poor management;"Good insurance and decent amount of PTO
";"No bonuses and slap in the face raises
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-16;Pipeline Technician;Current Employee, more than 8 years;Great place to work;"I have yet to find a downside to this company
";"None at this time, it all good
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-20;Anonymous;Current Employee;Good place to work, except during Covid;"Good team environment, good pay and benefits
";"Since July, it’s 100% back in the office with zero allowance for work from home. See other reviews about old school culture, that’s coming back in the form of the company actively opposing any accommodation for work from home, even if you have kids in virtual schooling. Masks are required at all times in the office (good) but other than that they’re pretending it’s business as usual. Management stresses “personal responsibility” and not coming to work if sick at all, but it costs vacation time if you call in sick. The incentives and the message don’t line up.
"
2020-08-10;Anonymous;Former Employee, more than 8 years;Good company;"- Exposure to top management - Potential for a lot of responsibility - Opportunity to create value and lead projects
";"- Very traditional culture- extremely opposed to remote work and wants to see people's faces in the office regardless of productivity level or status of work tasks - Can be somewhat unstructured - Unclear path of advancement and clarity on how to obtain promotions - Somewhat of a ""good ole boys club""
"
2021-02-11;Distribution Coordinator;Former Employee, more than 3 years;Distribution Coordinator Salary;"Provides a good learning opportunities.
";"Work-life balance is often challenging.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-20;Pipeline Supervisor;Former Employee;Good company to for.;"Safety, good pay, benefits and work environment.
";"Lean operating teams, limited promotions opportunities and you most be willing to relocate for promotions.
"
2020-11-05;Control Systems Specialist;Former Employee, more than 3 years;Compensation;"Flexible on schedule if WFH was needed.
";"Slow to see changes and limited on career growth
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-30;Student;Former Employee;Good pay, still ol' boy culture;"Great pay and great benefits
";"Lots of ol' boys in the SE Texas locations
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-04;Pipeline Gathering Technician;Former Employee, more than 5 years;Forget this company;"Good pay, and you get a company truck
";"Terrible leadership, very hard to move up with this company.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-30;Engineer;Current Employee, more than 5 years;Great place to work;"* Industry leading company with a solid upper management team. * The Company promotes upward and lateral movement internally. * Competitive compensation and benefits, particularly when company and employee performance is good.
";"*Management is pretty old school and does not seem interested in some of the modern employment trends such as flex schedules or remote work. *Appears to be a fair bit of nepotism. *Known to run a bit lean
"
2020-09-08;Mechanical Engineer;Current Employee, less than 1 year;Family like company;"Big company with small family feel, aggressive and profitable industry with stable performance and returns
";"Needs driven and competent workers who function well as team players
"
2020-09-18;Supervisor;Former Employee, more than 8 years;Good place to retire;"Solid company with good benefits and opportunities for growth.
";"I didn’t experience much work/life balance. Old school company culture.
"
2020-09-30;Auditor;Former Employee;Good ole boys;"Rare layoffs at the company
";"Old school and good boy mentality
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-09;Pipeline Technician;Current Employee, more than 10 years;Awesome company;"Very good day to day job!
";"No hourly employees get a bonus
"
2020-09-15;Engineer;Former Employee;Great company;"Great culture, and great people. Very professional environment.
";"Low salaries compared the the industry average
"
2020-09-02;I&E Technician;Current Employee, more than 5 years;Specialist;"I enjoy my job, the people I work with are great
";"Not many cons at my site
Be the first to find this review helpful
Helpful
Share
Repor"
2020-07-14;Control Room Operator;Former Employee, more than 10 years;Satisfying work. A matter of pride that work was done safely, and met production demands;"Worked control room for 24 years
";"600 to 1000 hrs. Overtime a year
"
2020-07-04;Operator;Current Employee, more than 5 years;Great Company;"Pay is good, great benefits, easy to learn the job and progress, professional place to work.
";"They don’t get operations a bonus.
"
2020-06-18;IT Support Specialist;Current Employee, more than 1 year;Good company with triggering elements;"Working from home and on weekends for overtime is good. Being by coworkers with lie minded ideals is a plus
";"Absenteeism and having to monitor other employees errors
"
2020-08-28;Terminal Operator;Former Employee, less than 1 year;Overall review for Enterprise Products;"Great Environment and healthy relationships with other team members
";"Training program is not very well, procedures are out of date, Poor supervision when being trained!
"
2020-08-30;Field Trucking Supervisor/Terminal Manager;Former Employee, more than 1 year;Upper Management is not supportive;"excellent benefits, profit sharing, 401k
";"no training, no support, buddy system
"
2020-09-21;Legal Assistant;Former Employee, more than 1 year;Well Established Company;"Good pay, large and well established Company
";"Can be a political environment
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-25;Supervisor;Former Employee, more than 10 years;Employee review;"Highly dynamic and collaborative work environment. Work/life balance varies depending on the group/department.
";"Management training was lacking with regard to managing people. Appeared to be a lack of promotion within some departments. Very fast-paced and tense work environment. Very difficult to advance. You're either a golden child or never moving up. Rigid job responsibilities.
"
2020-05-16;Business Analyst;Current Employee;Enterprise Products;"Great benefits, corporate experience, many employee perks
";"Lack of Opportunity to Advance within the Company
1 person found this review helpful
Helpful
Share
Repor"
2020-08-25;Anonymous;Current Employee, more than 1 year;Company;"Great benefits, casual atmosphere, large company.
";"Flexibility zero, no one take responsibility
Be the first to find this review helpful
Helpful
Share
Repor"
2020-02-11;Anonymous;Current Employee;Career growth opportunities abound;"Great leadership. Management cares about hour career path as long as you do. Competitive comp and bennys.
";"Management expectations not clearly defined in some areas.
"
2020-01-31;Anonymous;Current Employee, less than 1 year;Great place to work;"Career advancement Great Benefits So much to learn Great coworkers
";"Nothing comes to mind. I hope it stays this way!
"
2019-07-12;Plant Operator;Current Employee, less than 1 year;Great company, glad to be with an industry leader that is still growing.;"The training here is the absolute best I've seen. It gives me confidence in myself and those working around me. If you have a desire to move up or learn new skills Enterprise will help you along the way. Culture at my facility is awesome in all aspects comradery, safety, integrity, leadership and so on. Insurance is good for the most part but lacking in a couple areas.
";"The vision insurance coverage could be a lot better. No bonus incentive for hourly employees.
"
2020-01-24;Pipeline Technician;Former Employee, more than 8 years;Great Company!!!;"Benefits, Salary, Retirement, ""Family"" atmosphere, and Schedule
";"Really none. Independent work with employees always willing to help.
"
2020-03-09;Pipeline Technician;Current Employee, more than 3 years;Okay company to work for.;"Nice work environment. Down to earth and helpful co-workers.
";"Hardly any training for jobs, have to basically learn on your own. Bare minimum cost of living raises only. Less than 2.5 % annually.
"
2020-01-08;Administrative Assistant;Former Employee;would not recommend;"pay was generous, they seem to have a lucrative business model
";"No training, no back-up (forget about ever taking a day off), my supervisor was never helpful in resolving anything, pointed me in the wrong direction anytime I reached out for assistance and never helped me with my goals, Enterprise is ""self-insured"" - make sure you understand what that means before you plan on depending on their coverage
"
2020-03-03;Senior Analyst;Current Employee, more than 10 years;Time for growth;"Good salary and benefits, overtime possible.
";"Not the most nurturing experience - divide and conquer management style.
"
2019-11-12;Pipeline Technician;Current Employee, less than 1 year;Great work environment plenty of time for home life;"Pay , home life balance, less stressful
";"Not much overtime, tight with budget
"
2019-11-20;Lead;Current Employee;Great Opportunities!;"Lots of learning and growth opportunities, great pay and benefits.
";"nothing! company is great and fantastic
"
2019-08-11;Accountant;Current Employee, more than 1 year;Career Development is Lacking;"Good pay and excellent benefits.
";"Depending on what department you work in, work life balance may suffer. Additionally, the PTO isn't great.
"
2019-09-03;Pipeline Technician;Current Employee, more than 1 year;Great company;"Awesome experience, training, and benefits
";"Long work hours are to be expected
Be the first to find this review helpful
Helpful
Share
Repor"
2019-12-18;Operations;Current Employee, more than 3 years;Ok company;"Great pay for what it is
";"Good ole boy system
1 person found this review helpful
Helpful
Share
Repor"
2020-02-03;N/A;Former Employee;Lot of inbreeding within the company.;"None that I can think of.
";"More than I can possibly type.
"
2019-09-09;N/A;Current Employee;The most unorganized crap shoot of a company that I've ever had the displeasure of working for.;"They have an excellent benefits package.
";"There are way too many to actually list.
"
2019-03-31;Anonymous;Current Employee, more than 3 years;Fast paced. Always changing. Travel. Cape required.;"A lot depends on the job title, good 401k match, profit sharing, bonus, stock.
";"You need to love what you do, if you love your craft you will do fine. If you're not driven in what you do, it can be a soul sucking experience.
"
2019-04-10;Gathering Tech;Current Employee, more than 8 years;Energy Industry was booming here they would not have 7 employees;"Pay decent, benefits are good. Its a little better then not working
";"Management is terrible! Worked for other companies this place is the worst, at least in San Juan basin area. Good ole boys club. They dont listen. You are nothing but a tool. Merit based raises dont exist. No accountability at all. Every manager is just a ""Yes Man"". Worst energy company I have ever worked at.
"
2016-02-22;Confidential;Current Employee, more than 5 years;Great Company;"Enterprise Products has a great work environment with many productive, welcoming and trustworthy employees. Energetic midstream company that values hard work and promotes from within. Competitive benefits package for the oil and gas industry; including stock options and bonus opportunities for exempt employees that prove to be strong performers. Great work hours with ½ days on Friday to maintain home life/work balance.
";"I’ve read some of the reviews and I agree with several comments. There is a lack of consistency for internal processes in some of the departments, as well as, a lack of communication. The company is trying to address these areas of improvement like many other companies. Sadly, there are many underqualified, poor performing, and underperforming employees in the company that are getting compensated for trying to “look busy” in a slow market. These employees are taking advantage of the situation. The company needs to trim the fat. The high performers even in a slow market continue to outshine these individuals; it’s easier to “see” who needs to be cut and it’s time to take care of business in our cost-savings environment.
"
2019-07-01;Team Lead;Current Employee, more than 3 years;Great Culture, life work balance;"Great working environment and benefit
";"Great working space and collegue
"
2019-10-15;Distribution Supervisor;Current Employee, more than 3 years;Old school culture with opportunity for career growth;"Quick career growth for driven individuals, 401k match 5%, 3 weeks vacation/sick days, half day Fridays
";"no formal review process or structured training
"
2019-11-15;Pipeline Operator;Current Employee, more than 3 years;Excellent work environment;"Competitive salaries and benefits. Manageable work schedule
";"Non that I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2019-02-28;Senior Accountant;Current Employee, more than 10 years;Each team has their own culture;"Great culture in certain groups. No micro managing & work life balance good... disclaimer - it has everything to do with the team you work for. Strong company, lots of intelligent & kind people.
";"No real appreciation for employees from upper management & no defined path to growth.
"
2016-06-23;Scheduler;Current Employee, more than 3 years;Scheduler;"Let's get real. YES, Enterprise is a giant corporation. YES, sometimes the corporate office is a meat grinder. YES, sometimes management is hard on you. YES, there are communications breakdowns across groups...blah blah blah. But let's get real, what major corporation doesn't have these issues?? You adapt and overcome and get on with it...Here's what I will say about my experience with Enterprise (and yes, I realize that there could be [read: are] others having wildly different experiences based on location, direct management, position, et al); in my experience if you show up hungry every day, work hard, learn something, and stay focused you will advance and you will be compensated for it. It sounds overly cliché, but it's not. I've had several managers both in operations and in commercial, some (ok one) of them very difficult, but I was still advanced and continued to receive merit increases because I refused to give in to the temptation of complacency. The culture of Enterprise is such that actual hard work, team-building and dedication will be rewarded, and nay-saying, laziness and complacency will stick out like a sore thumb. Cliché or not, that's what I've experienced, and there's my two cents.
";"The downtown commute from the north west side sucks, but hey, that's not really Enterprise's fault is it...
"
2019-03-20;Accountant;Current Employee, more than 3 years;Decent company, old school mentality;"Flextime, 401k match, Bonus, People
";"Below average pay raises. No promotion unless old people retire. Younger talent is overlooked. In order to move up you need to sit in that chair for years. Managers don't know the work employee puts in.
"
2019-02-05;Corrosion Technician;Former Employee, more than 5 years;Corrosion Technician;"Great benefits and salary always have a decent raise.
";"Not willing to promote or relocate after 6 years.
"
2015-03-01;Anonymous;Current Employee, more than 5 years;Not what it used to be. Sadly.;"For the first 3 years I RAVED about working for this company. I've been in my profession for nearly 40 years and this is by far the best company I have worked for. Then Dan Duncan, the founder, died and the sharks took over. Dan started out as a truck driver and built a multi billion dollar enterprise but he never forgot what it meant to take care of the workers. I still love my job after seven years. Excellent pay and benefits. Depends on your location and department as to how well you will be treated.
";"As eluded to in the Pros section, this company has lost sight of it's employees and has a single focus on it's shareholders. Enterprise, to it's credit continues to make record earnings each quarter but it is also constantly taking away things from the employees. The company has lost a great number of its employees over just the past 4 years because it no longer appears to care for its people. This is a ""perception paranoid"" driven company. Common sense seems to have gone out the window for fear of an unfavorable perception of everything from peers to managers to the public. Depending on your department, you may or may not love this company. My department is a quagmire of paranoia and backstabbing.
"
2014-02-11;Pipeline Controller;Current Employee, more than 1 year;Pipeline Controller;"They pay good for your experience. Good benefits. Some good people to work for if you get the right manager and team mates. Good schedule and you get almost all of your days off. I would recommend a friend to get training to go elsewhere.
";"Prompt the wrong people, if you're not a suck a** forget it even though you have more knowledge and may be better for the job. Management lacks direction. Managers are puppets for the upper management. They PREACH safety but all management cares about is the bottom dollar and how much money is made at all cost. There's a sever lack of professionalism. No bonuses or sick time. You work under a microscope and everyone wants to place blame elsewhere. It's constant CYA. You are a robot and better not make a mistake. Large control room and have lost the TEAM atmosphere. People will step on you to get ahead and try to make you look bad to better themselves. Management lets you know you're just a pee'on and there's constant micro-management and braidment from Management. Management blows the smallest things out of proportion and lets everyone know about it. Over worked and now one cares. High turnover rate. If you want good pay and benefits you have to put up with way to much politics, but that comes with the large setting of the conrtol room. There is a clear divide among control groups. I would take less money for less headache and BS.
"
2019-01-31;Anonymous;Current Employee, more than 10 years;Great company;"Promote hard work and great values
";"This is also a pro but very traditional
Be the first to find this review helpful
Helpful
Share
Repor"
2019-06-05;Anonymous;Current Employee, more than 5 years;good company, okay pay;"Stable company Good management Central location Long term growth
";"low pay no paternity leave no gym
"
2012-08-19;Engineering Development Rotational Program;Current Employee, more than 3 years;EDRP Year Three;"The program has grown significantly and there has been more executive support of the rotational program as a whole. The third year focuses on Project Management and as a third year EDRP I have a project portfolio of around $9MM. This leads me to believe that they trust me with the level of responsibility required to manage small to medium projects on my own.
";"There is no clear picture about what transpires at the end of the three year program and how the transition will occur and the level of personal ""say"" in the permanent position. There tends to be some shortfalls in the mentoring capabilities across the board. There is no formal review process to assess your progress against others in the program.
"
2019-02-07;Anonymous;Current Employee;Work environment;"Nice people to work with
";"Low pay are expected here
1 person found this review helpful
Helpful
Share
Repor"
2015-12-13;Supervisor;Former Employee, more than 3 years;Well run company, could pay a little better;"Management makes smart decisions and thinks strategically for the long term. Still buy their units when they go on sale. Not sure how much culture nd changed since founder Dan Duncan's death, but he kept company ethical, fair, and honest.
";"Lots of rapid acquisitions made recordkeeping and chain of title a challenge on assets. Left company for external opportunity after HR offered me 10% less for an opening than they would offer an external candidate because it would have been too large of an incremental raise for me. Yes, they literally confirmed that to me. Stupid policy, I had four years of company culture, connections and SOPs. Job hopping sends the only way to get a real raise these days. Sure worked out better for me.
"
2018-03-19;Anonymous;Former Employee;Bad Management Good People;"- The People - One of the best aspects of working at Enterprise was the people you interact with on a daily basis. The majority of the ""worker"" level people are smart, capable and friendly. - The Assets - Enterprise has a lot of assets that are well integrated and well run by the Operations team. This makes it much easier to do your job as a member of the team at the corporate office. - Bonuses - Once you get into the bonus pool, the LTIP and STIP are both very competitive.
";"- Management - From the VP level to Senior Management, there is a lot of incompetence and arrogance. The management team overall treats the employees of the company very poorly. They push them to work more hours and get more and more work done, but there's no appreciation for the dedication. Employees are regularly scolded or reminded that they are replaceable. - Lack of upward mobility - There is very high turnover at Enterprise, so you would think this would result in a lot of merit based promotions, but that's not the case. Promotions are regularly given based on who you are friends with rather than the work you're doing. This creates discord among the employees and puts unqualified personnel in power positions.
"
2014-08-26;Technician;Current Employee;Once a great place to work quickly is becoming an unbelievable nightmare of a job! Not sure how much longer I will last…;"Pay is excellent after you complete your training, although it is low to start. Vacation benefits are in line with competition, Health insurance and benefits package are pretty good. Most of the employees are wonderful to work with, company provided truck very nice to have.
";"No life/work balance in my job at all. Horrendous rude and inconsiderate management, local supervisors are not knowledgeable in any area. Company management threatens and harasses employees. Management has a never-ending dump the liability on the working man mentality. Insane crazy amount of documentation designed to cover the supervisor’s rear in case anything “Bad” happens. Claim they own you 24/7 and force you to be on call 24/7 365 days a year (yes employees were told they could even be called into work if they were on vacation days!) Supervisor forced a very devoted employee to quit and then threw a celebration because Supervisor thought the Area manager would be so pleased he did so. Employees so stressed that an unusually large percentage have left on short term disability. May have to quit this job, stress is awful!
"
2012-02-16;Tankerman;Current Employee;For the most part working at enterprise was a good experience.;"When I worked at Enterprise I felt they were always fair with the pay and how they treated employees. Some employees would gripe about the company but I never had any complaints with the company. They are good about getting you to the boat and getting you off the boat when it is crew change time.
";"They don't always hire the best people for the job
"
