date;employee_title;employee_status;review_title;pros;cons
2021-09-16;Project Lead;Current Employee;No;"Good pay and benefits. Training is good.
";"There is too much politics and bureaucracy. Management is not caring.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-08-09;Project Coordinator;Current Employee;Good place to work;"The compensation is good as well as the people.
";"Workload is very high at this point.
1 person found this review helpful
Helpful
Share
Repor"
2021-07-01;Communications Specialist;Former Employee, more than 1 year;Loved every second of working here;"Great culture, benefits, and ample emphasis on work/life balance
";"They were in the middle of a restructuring that resulted in my lay-off, which happens everywhere, but I'm still on the fence about if the restructuring was handled in a way that truly allowed the right people to land in the right roles. The selection process seemed to be largely based on subjective information.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-07-30;Crisis Manager;Current Employee, more than 10 years;Great Compensation;"Salary is at market value or more. Benefits package is top notch For the most part great people.
";"Corporate world. Manager determines your future in many cases. Always changing. Doesn't ever just settle for a bit.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-21;Environmental Health and Safety Specialist;Current Employee, more than 3 years;Poor support from top management on key issues and work load;"Great pay and company benefits
";"Work life balance is not where it should be. They keep cutting jobs without decreasing the workload for the people that are left.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-01-08;Category Specialist;Current Employee, more than 3 years;Beware of BP;"The work is interesting and the coworkers are generally friendly. I was always paid on time.
";"You should be aware that BP has an official program that involves paying financial incentives to managers when diversity targets are met for women and/or Black employees. If you are a non-Black male, I strongly urge you to pursue other employers. Before I joined BP, the company had a reputation for two things: catastrophic accidents and layoffs. As a current employee, I think that reputation is well deserved. BP invests heavily in outsourcing technologies and the company retains an army of staff who design workflows and work processes for others. What this means is that your job will constantly change, it will constantly be designed and re-designed by people who lack experience in the roles and do not have endure the consequences of their decisions, and you will always be at risk of being laid off. I doubt you will ever have a feeling of job security, and because of that, your personal relationships and happiness will likely suffer. Believe me when I say that you do not want to work here. You will have a better career and better life elsewhere. The third and final thing that you should be aware of is that BP is excellent at saying no. I have never observed a single instance of BP saying yes to something that was not already explicitly approved in a policy. No matter the situation or circumstance, based on my experience, the answer will always be no. If you are reckless enough to accept a role at BP, you should expect to hear the word often.
Verify your email to continue reading or Resend email
7 people found this review helpful
Helpful
Share
Repor"
2021-07-20;Petrophysicist;Current Employee, more than 3 years;Great Company;"1) Work life balance 2) People 3) Patience 4) Coaching 5) Development
";"1)Promotion rate 2) Salary 3) Job security
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-29;Senior Treasury Analyst;Current Employee;BP Rocks;"Nice pay Good Bonus fun Easy Nothing else utilize tech
";"lack of support far N/A old school hard to move up
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-25;E&I Technician;Former Employee;Good work until they move on.;"Safe and reliable company. Excellent benefits.
";"The asset I worked on was sold. So I moved to a new state to continue to work for BP. Then they sold that asset.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-17;Front End Cashier;Former Employee;New Ownership Makes a Positive Difference;"New Ownership, Wages, Flexibility, Location, Busy
";"Some shifts can be boring
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-12;Cashier;Former Employee, more than 1 year;All right for what it was;"None really unless you count leaning how to deal with obnoxious customers and worry about how many people drive drunk
";"Worry about your safety when shady looking people come in and you are the only one there. Pays is not good
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Financial Analyst;Current Employee, more than 3 years;Franchisee;"Great benefits. Good people. Friendly work environment.
";"Long hours. Not much else.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-15;Process Engineer;Current Employee;Great company to for;"Lots of opportunity to learn and great benefits.
";"I don't have any cons for BP.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-13;Project Lead;Former Employee, more than 5 years;Project Lead;"Excellent Benefits Good leave. All good
";"I got retrenched in 2018
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-27;Supply Planning Analyst;Current Employee, more than 3 years;Supply Planning Analyst- BP Castrol;"Lots of changes in the industry at the moment and many opportunities to make a difference
";"Old school management stuck in old ways of working
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-06;Information Security Specialist;Current Employee, more than 5 years;Great;"Lots of opportunity, open minded atmosphere, big company, plenty to learn.
";"So big, every group can have a slightly different culture.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-04;Drilling Engineer;Current Employee, more than 10 years;Constantly changing, limited career opportunities;;"antly changing, limited career opportunities
Jul 4, 2021 - Drilling Engineer in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
Decent benefits and pay, flexible work arrangements, going green
Cons
No career paths for wells individuals into alternative energy, multiple layoffs over the last 5 years, limited opportunities for progression.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-29;Reservoir Engineer;Current Employee;Good company;"Good company to work for
";"Sometimes it is stressful working here
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-10;Commissioning Manager;Former Employee;Company struggles with its own identity;"Compensation and benefits were best in class.
";"leadership were more concerned with pleasing themselves
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-17;Exploration Geologist;Former Employee, more than 10 years;Recent layoffs won't be the last ... Run away if you're a geoscientist;"Pretty good work-life balance, good benefits, good severance package (for now). Lots of smart and talented people, at least where I worked. Good diversity and inclusion.
";"Recent layoffs have gutted the company, leaving it understaffed and lacking experience. The transformation to an Agile work environment means staff are deployed on projects and seem to rush to get work done during the sprints. This might lead to the 80% solution becoming the 50% solution. New CEO bernard looney has re-imagined bp by transforming it into a utility company and shrinking oil and gas production 40% by 2030, and even less by 2050. The end result is that if you're a geoscientist and want a career in oil & gas, you should see working at bp as a dead-end and start looking for a new employer. In exploration, every new discovery is another step closer to making your job redundant. Upward mobility was challenging before the reorganization, so in order to advance people were leaving exploration to go to other companies. Now, it will be even harder. The latest layoffs were done in an opaque manner.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-06-10;IT Operations Manager;Current Employee;Good company to work for;"Great benefits, pay, flexible hours and work from home options.
";"Large corporation. Growth can be challenging as corporate is not Chicago
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-06-22;Receiptionist;Former Employee;Good;"Very good company I say
";"Nothing con very good I say
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-02;Charterer;Current Employee, more than 8 years;Fantastic group to work with;"great people to work with and work for. I always felt like my managers cared about my development and well-being.
";"meritocracy does not always win the day
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-11;Anonymous;Former Employee, more than 10 years;Great People;"Great people, strong leadership, took care of their people.
";"Highly volatile industry prone to expansion and divestment.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-01;Technical Recruiter;Former Employee;Great;"Great company - hope the move to green energy goes well
";"Too fast to embrace scenarios planned 20 years out
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-07;Crude Operator;Current Employee, more than 8 years;Great Company, but not flexible enough.;"Great pay Laid back, but very competent colleagues Fun work environment
";"Most jobs are in Chicago and it's too expensive to live there
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-01;Credit Analyst;Former Employee;Great place to work. True to its values.;"Diversity, quality of management. Remote work opportunities.
";"New strategy is to move away from fossil fuels to alternative energies
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-07;Petroleum Engineer;Current Employee, more than 8 years;Lost of change, like a foundation built on shifting sand;"God benefits and friendly work culture.
";"A company run by HR and IT without leaders (only managers). Technical skill is not rewarded, promotion by following order from above.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-27;Senior Tax Analyst;Current Employee, more than 10 years;A company that cares for employees;"Learning opportunities and growth Pay / Bonus' Incredible Work / Life balance
";"Work load can be a lot Famous for multiple competing projects simultaneously
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-26;Appraisal Engineer;Current Employee, more than 10 years;Good Company in Midst of Reinvention;"Good compensation and benefits. Always had good line managers who treated me fairly. Respectful culture.
";"Poor work life balance. Very disorganized and bureaucratic. Hard to shift to different parts of the business.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-15;Manager;Former Employee, more than 10 years;If you want a positive experience with advancement, go elsewhere!;"Proud automotive heritage; premium products; generous 401(k) match, education reimbursement and vacation.
";"No mobility or opportunity for promotion; 10,000-person cut in late 2020/early 2021 made all teams way too lean with people overworked with multiple jobs; cut budgets with expectations to deliver the same results; constant reorgs that move people in roles they do not want; poor leadership.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
2021-06-03;Audit Advisor;Current Employee;Great Company;"Great benefits Access to Digital training
";"Limited opportunities to advance into supervisory positions
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-18;Supply Chain;Former Employee, more than 8 years;Great Company / Tough Transition;"Great people company and great benefits.
";"Going through a restructure of the organizations and moved many positions to lower cost countries giving up a lot of industry knowledge not easily found in other countries. Many challenges with company direction and not sure who is doing what. Overloaded and overworked team members.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-19;Analyst;Former Employee;Working for BP was a great opportunity and experience.;"Great pay and benefits; Great people; Good opportunities for advancement
";"Too much change too quickly
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-26;Data Scientist;Current Employee;great pay but lacks excitement;"Base Salary, Matching 401K and bonus is great
";"work lacks excitement in many areas.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-17;Senior Accountant;Former Employee;Employer who appreciates work/life balance;"Great work life balance. Employer wants employees to succeed. Lots of opportunities within
";"Lots of restructuring over the years. Outsourcing of work
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-26;Counsel;Current Employee, more than 3 years;Good benefits;"good benefits and competitive salary
";"downsizing in legal and in the US
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-12;Project Engineer;Current Employee, more than 1 year;It's okay;"Hybrid work schedule is nice
";"Slight disorganized, talk a lot about following processes but deviate when it's convenient.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-26;Analyst;Current Employee, more than 8 years;a confederation of dunces;"you'll learn what not to do in your career that comes after
";"They are complete hypocrites regarding 'Values and behaviours'. US is ruled from England. Leaders in US are disrespectful and do nothing. If you are self serving, selfish manager wannabe, BP is right for you, and they love young, stupid or cheap. They talk the talk all day, don't walk the walk. Culture hasn't changed since Deep Water Horizon, Texas City, etc. Same dumb outsourcing strategies never end. Phony new goals are the same thin veil - digitize and zero carbon.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-05-11;Software Engineer;Current Employee;Lots of positives and a few negatives;"I appreciate the net zero ambitions
";"Stock options have little value as stock keeps dropping price
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-10;Senior Project Manager;Current Employee;the new bp;"new vision for the future creates new opportunities outside of traditional oil and gas
";"recent reorg reduces immediate opportunities for advancement
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-11;Financial Analyst;Former Employee, more than 8 years;overall success;"outstanding purpose/goal; great people and safety first!
";"some corporate politics; urgent ad hoc tasks
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-18;Franchise Business Consultant;Current Employee, more than 1 year;Franchise Business Consultant;;"ltant
May 18, 2021 - Franchise Business Consultant in San Jose, CA
Recommend
CEO Approval
Business Outlook
Pros
Great culture, flexible schedule, great benefits
Cons
Work life balance, poor training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-11;Technical Administrative Assistant;Former Employee, more than 8 years;Work for BP Recommendation A+;"Best co-workers and team atmosphere I've ever worked .
";"There were no downsides for me.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-04;Financial Analyst;Former Employee, more than 10 years;Working at BP;"Great salary, benefits and people.
";"Long work hours, which can be stressful at times.
1 person found this review helpful
Helpful
Share
Repor"
2021-07-09;Human Resources Manager;Former Employee, more than 10 years;Different company than the one I joined and not for the better;"Decent pay Global opportunities Work from home
";"Terrible leadership HR just a “yes shop” and very tactical Sinking ship
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-05-05;Senior Vice President Operations;Former Employee;Transforming Company;"flexible working, large company with potential to travel
";"may be too large, shrinking in traditional hydrocarbon business
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-27;Project Manager;Former Employee;Good company but no career progression;"Good pay, comfortable offices and perks
";"Limited career progression, limited opportunities for non US / UK employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-13;Digital Marketing;Former Employee, less than 1 year;Great company, too sad the oil and gas industry is not stable;"Great pay, good work-life balance, great people, diversity, inclusion,...
";"None, I had a good experience working there
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-19;Well Intervention Engineer;Former Employee;Not bad, but no perfect;"Great Pay, culture varies from department.
";"Culture varies from department, hit or miss
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-06-30;Senior Risk Analyst;Current Employee, more than 5 years;great;"good work environment, culture. diversity,
";"unorganized. over time, politics, no growth
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-09;Geophysicist;Former Employee, more than 5 years;It is a great experience to work for BP;"Big company with a good salary and benefits; good training program
";"social pressure sometimes is big
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-24;Business Analyst;Former Employee;A good Company;"Great Benefits. Room for personal growth.
";"Too many organizational layers and separation of teams.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-09;Learning and Development;Former Employee;Overall great company;"Flexible working, great focus on overall employee wellbeing and diversity & inclusion
";"Can take too long to get to a decision and not always great communication from the leadership
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-28;Senior Originator;Current Employee;depends on area;"ability to self determine scope
";"not much support from management
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-19;Lead Business Analyst;Former Employee;BP Review;"Good benefits, fair pay, world-wide company
";"Opportunity to work in other segments is limited.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-07-30;People Advisor;Former Employee, more than 1 year;Good Employer, Less-Good Industry;"-Great Compensation -Excellent Resume Building Experience -Brilliant People -Nice Perks and Accomodations such as Gym, Cafeterias, modern workspaces going up -Flexible Working Culture -General Understanding that Family Comes First -Strong focus on values and ethics
";"-If you're not into Houston or Chicago, thats where the most jobs are -Its a big, corporate, bureaucratic company with a lot of red tape -Change happens slowly -People tend to move positions every two years, based on the way the company org charts are structured (at least for office based jobs), which makes for a lot of unfinished initiatives and projects -The health of the industry truly ebbs and flows with lots of ups and downs
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-19;Electrical and Instrumentation Technician;Current Employee, more than 5 years;Good Benefits;"Benefits and pay are good
";"Lack of employee well being
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-11;Project Manager;Former Employee;Encourages work life balance but frequent restructuring and job cuts every few years;"Great benefits and encourages work life balance.
";"Hard to stand out among a very large corporation, frequent restructuring and job cuts every few years, & can stifle creativity.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-05;Vice President Marketing;Current Employee;It is a university to tech the best;"Best learning ever in any company
";"Senior management out of touch with mid management
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-12;Human Resources Analyst;Former Employee, more than 8 years;Great Company but;"Excellent benefits and working balance. Great people. Most of them.
";"As with any big company, you have to brown nose with everyone to keep your job. If you do a great job but silent running, you'll be on the list to go out. No one cares. Mid level mangers don't know what they are doing. Just sucking up and draining the company's money and profits. Really.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-29;Process Technician;Former Employee, more than 5 years;Great Company hate to see you go.;"Great Company, good benefits and pay.
";"No problems definitely took care of Employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-28;Category Manager;Former Employee, more than 8 years;Good company to work for;"Great benefits and Flexible schedules
";"Too much politics, relationships matter more than experience
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;Process Engineer;Former Employee, more than 1 year;Great career;"Great pay and benefits, great bosses
";"Sometimes long hours, but get paid overtime
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-31;Cashier;Current Employee, more than 1 year;Good place to work;"good hours and good boss
";"no cons that i could think of
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-02;Environmental Scientist;Current Employee, more than 10 years;Good While It Lasted;"Good pay and benefits. Opportunities can present themselves.
";"Stressful and male dominated. Work Life balance was abysmal.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-03;Senior Project Manager;Current Employee;Future of energy transition;"Many opportunities and variety of experience.
";"Transitioning is a stressful time for employees
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-09;Analyst;Former Employee, more than 8 years;Too many changes;"Benefits & compensation, some career growth only if you know someone
";"Too many changes. As soon as someone comes in the whole org changes. Managemnt don't really care for middle or lower employees. Looking for the bottom line. Who you is the structure of this company if you want to work here.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-03-25;Senior Financial Analyst;Current Employee;Great place to work;"Growth, great pay, great learning opportunity.
";"Constant change of direction, depending of flavor of the month.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-24;Banking;Current Employee;Ok;"This functions Ok as a company
";"There will always be room for improvement but This functions Ok as a company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-18;Supply Chain Manager;Former Employee, more than 8 years;Lots of Changes;"Very good compensation and benefits package
";"Constant change, restructuring, downsizing, buy-outs, and lay-offs.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-20;Well Site Leader;Former Employee;Used to be a good company to work for;"Good pay and benefits. Offer chances to move around and add to your experience. Good training programs.
";"The company is huge and the bureaucracy is painful. They're laying off people left and right. Management cares only about themselves. Lots of red tape that limits the effectiveness of individuals.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-23;Maintenance Engineer;Current Employee, less than 1 year;Limited opportunity;"good compensation, benefits and work life balance
";"limited (read ""no"") opportunities to move to newer parts of the business (renewables)
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-10-12;Performance Manager;Current Employee;Great company but challenging industry;"Castrol BP Vietnam is a joint venture between BP and one local company Petrolimex in Vietnam. This is a great company with great working environment where we work and act on five core value Safety - Excellent - Respect - Courage - One Team. Castrol BP VN is one of the big companies in Vietnam and is in top 50 of Biggest Tax Payers.
";"Oil and Gas Industry is facing difficulties of CO2 emissions and BP is making radical change of its’ strategy to Net Zero and green energy. Low oil prices impact significantly to the business of BP in general although Castrol BP Vietnam is still very profitable in lubricant business. But Vietnam BU is still impacted by decisions taken globally of BP.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-25;Anonymous;Current Employee;I DOnt Know;"Are very helpful and nice
";"I Dont know because i have never had any problems.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-12;Petroleum Engineering;Current Employee, more than 8 years;Interesting & flexible work;"Pay & benefits, flexible working, caring company
";"Layoffs galore - experienced at least 5 rounds of lay offs over the past 8 years, continuously keeping people in uncertainty.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-16;Anonymous;Current Employee, more than 3 years;GoM finance is very dysfunctional.;"flexibility to work from home some days of the week. OUTSIDE the Gulf of Mexico, culture is OK.
";"FINANCE is dysfunctional. Open nepotism (manager fired a subordinate to put their spouse in place). Other managers looked the other way. People get fired if they speak up. Backstabbing culture. Life/work balance does not exist.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-02-04;Premium Accounts Team Lead;Former Employee, more than 8 years;Great culture to work. Amazing benefits and fair potencial to grow.;"Culture, Diversity, Exposure and Values
";"Big corporate, get ready for changes and re orgs every other year.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-23;Sales Associate/Cashier;Current Employee, more than 1 year;Cashier;"Easy to work and nice company
";"A gas station requires patience
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-25;Global Operational Excellence Leader;Current Employee;Great company;"BP is the best company to work for in the energy space. They have a clear strategy about the future of global energy.
";"I do not have any cons to report.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-16;Project Manager;Former Employee;Great Environment;"Great place to work and socialize
";"I have no cons to submit
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-07;Process Technician;Former Employee, more than 10 years;It was good while it lasted!;"Pension and other benefits were stellar
";"Didn't always make good decisions on long term maintenance issues!
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
