Company;review_title;pros;cons;text;score_pros;score_cons;score_combined;insurance
ExxonMobil;Very competitive to hold a job;Great benefits and pay. Great parental time off and consideration for sick leave;Very competitive to remain working for this company. Yearly performance reviews are not very thorough and many times show personal emotions from supervisors instead of real objective results accomplished by the employers;pro great benefit pay great parental time consideration sick leave con competitive remain working company yearly performance review thorough many time show personal emotion supervisor instead real objective result accomplished employer;0.78;0.6;0.9;0
ExxonMobil;Employees are Good, Management Could be Better;A lot of the people you work with are delightful, willing to teach, and genuinely want to be productive helpful employees. A lot of employees are willing to mentor and the career opportunities at the corporation are fantastic. Pay was great, benefits too. Best I've seen in the energy industry.;Forced ranking system is archaic and disincentives team work. Insecure employees end up working for themselves rather than the good of the corporation and turn to political games that help nobody except make themselves look good at the expense of productivity for the company Some employees and their managers in field offices are glaringly inappropriate. Good ole boy mentality outside Houston. Employees are highly commoditized and WFH is not accomodated;pro lot people work delightful willing teach genuinely want productive helpful employee lot employee willing mentor career opportunity corporation fantastic pay great benefit best seen energy industry con forced ranking system archaic disincentive team work insecure employee end working rather good corporation turn political game help nobody except make look good expense productivity company employee manager field office glaringly inappropriate good ole boy mentality outside houston employee highly commoditized wfh accomodated;0.98;0.68;0.98;0
ExxonMobil;Good company in need of new thinking;Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.;Management too imperial, not collaborative. Promotion based on company politics rather than ability. Slow to change, very process oriented.;pro work quality people lot opportunity job location move good safety control culture retirement benefit con management imperial collaborative promotion based company politics rather ability slow change process oriented;0.88;0.32;0.92;0
ExxonMobil;Used to be a great place;You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).;Projects organization has lost its rudder and has not been able to effectively put the new reorganization plans into place. Ranking & Rating system is opaque and arbitrary. Performance feedback it typically contradictory and useless. Supervisors don't give your career and interests much consideration. Workplace becoming increasingly toxic.;pro get work smart people learn great deal benefit quite good pre covid time con project organization lost rudder able effectively put new reorganization plan place ranking rating system opaque arbitrary performance feedback typically contradictory useless supervisor give career interest much consideration workplace becoming increasingly toxic;0.92;-0.38;0.91;0
ExxonMobil;Struggling with change;Huge resources, meritocracy, very intriguin intelligent and capable people;Resists changes, very short to adapt;pro huge resource meritocracy intriguin intelligent capable people con resists change short adapt;0.83;0.0;0.82;0
ExxonMobil;Should I work for ExxonMobil;Career development process based on internal promotion Global leader in BtoB with strong company values and culture Long term need for Energy and opportunities for transformation Competitiveness through internal integration and technology International and diverse activities Changing staff demographics;Current industry turmoil resulting in projects freeze and staff reduction Negative public image and uncertainties about energy transition Changing staff demographics Salary and Benefits2 people found this review helpfulHelpfulShareRepor;pro career development process based internal promotion global leader btob strong company value culture long term need energy opportunity transformation competitiveness internal integration technology international diverse activity changing staff demographic con current industry turmoil resulting project freeze staff reduction negative public image uncertainty energy transition changing staff demographic salary benefit people found review helpfulhelpfulsharerepor;0.87;-0.74;0.74;0
ExxonMobil;Thankful;Benefits is the best thing about company.;Upper management is the problem.;pro benefit best thing company con upper management problem;0.78;-0.4;0.67;0
ExxonMobil;Great company;Paid well Competitive environment New opportunities (job rotation every 2-3 years) Values training and providing resources for personal/job growth;"Due to market, reduced project opportunities and ""Do more with less"" Top down military style management at the higher levels. Lower has decision spaces and empowerment but that is not consistent at the higher management tiers. Pay may drop down to average if raises stop1 person found this review helpfulHelpfulShareRepor";pro paid well competitive environment new opportunity job rotation every year value training providing resource personal job growth con due market reduced project opportunity le top military style management higher level lower decision space empowerment consistent higher management tier pay may drop average raise stop person found review helpfulhelpfulsharerepor;0.87;-0.39;0.81;0
ExxonMobil;Good Work;Good work. Gas is always in the pump;Need better candy selection on the shelves;pro good work gas always pump con need better candy selection shelf;0.44;0.44;0.7;0
ExxonMobil;Large Bureaucratic Company;Solid pay, don't need to do much;Play a lot of telephone between people;pro solid pay need much con play lot telephone people;0.05;0.34;0.38;0
ExxonMobil;Fast Paced;Fast paced dynamic innovative company;Massive corporation , global policies do not always apply for bespoke environments;pro fast paced dynamic innovative company con massive corporation global policy always apply bespoke environment;0.67;0.0;0.67;0
ExxonMobil;Great colleagues, awful senior management;- Work with some of the best and brightest people - Challenging projects, great stretch opportunities - Good pay for well performing individuals;"- Sr. Management does not care about workforce - Often see Sr. Management making poor business decisions - ""Be happy you have a job"" philosophy pushed onto employees1 person found this review helpfulHelpfulShareRepor";pro work best brightest people challenging project great stretch opportunity good pay well performing individual con sr management care workforce often see sr management making poor business decision happy job philosophy pushed onto employee person found review helpfulhelpfulsharerepor;0.96;-0.26;0.98;0
ExxonMobil;Been a great place to work;Good pay and benefits, stable employer with few layoffs, great colleagues;Slow decision making, need to adjust to new realities;pro good pay benefit stable employer layoff great colleague con slow decision making need adjust new reality;0.89;0.0;0.9;0
ExxonMobil;Lack of vision and a toxic culture.;Technology leader. Fundamental research. History of innovation.;Toxic culture. Lack of vision.1 person found this review helpfulHelpfulShareRepor;pro technology leader fundamental research history innovation con toxic culture lack vision person found review helpfulhelpfulsharerepor;0.38;-0.32;0.32;0
ExxonMobil;Clerk;very relaxing, not much to do;Dealing with entitled people at a gas station, it’s basically $5 and below;pro relaxing much con dealing entitled people gas station basically;0.54;0.27;0.65;0
ExxonMobil;Stable company with good pay and benefits;Decent pay, good benefits, good retirement, high quality people within the company;Forced annual rankings, jobs are picked for you, difficult to implement changes;pro decent pay good benefit good retirement high quality people within company con forced annual ranking job picked difficult implement change;0.79;-0.67;0.44;0
ExxonMobil;good company;everyone was very friendly and nice;there was a lot of pressure;pro everyone friendly nice con lot pressure;0.76;-0.3;0.59;0
ExxonMobil;Good company for a stable career;Very competitive Benefits package. Working environment is not bad;Not a lot of Opportunities to move across departments. Poor career management plan especially if you don’t have a mentor fighting for your interest. Not enough diversity in culture and management Very slow to innovate.1 person found this review helpfulHelpfulShareRepor;pro competitive benefit package working environment bad con lot opportunity move across department poor career management plan especially mentor fighting interest enough diversity culture management slow innovate person found review helpfulhelpfulsharerepor;0.77;0.0;0.56;0
ExxonMobil;Good opportunities, competitive culture;Breadth of opportunities, challenging roles, Pension;Political, analysis paralysis, inward focused;pro breadth opportunity challenging role pension con political analysis paralysis inward focused;0.49;0.38;0.72;0
ExxonMobil;Not bad to work for;Easy work and flexible hours;No raises so customers are irate;pro easy work flexible hour con raise customer irate;0.59;-0.75;-0.03;0
ExxonMobil;Okay but could be better;Salary and benefits. Travel during good times.;Nepotism. Bias. Elitist. Glass ceilings for all but a few select few.;pro salary benefit travel good time con nepotism bias elitist glass ceiling select;0.67;-0.05;0.67;0
ExxonMobil;Amazing Campus with not so amazing staff;So many options available to you such as places to eat, coffee, pharmacy, dentist, eye care, and more Work flexibility Pay Time off Insurance Pension;A lot of the the people are entitled and are not willing to help others grow and learn in fear of someone else besides themselves moving up. The people who are close to retirement are no longer really working but mainly just keeping there chair warm until they can retire. The training is minimal if any at all;pro many option available place eat coffee pharmacy dentist eye care work flexibility pay time insurance pension con lot people entitled willing help others grow learn fear someone else besides moving people close retirement longer really working mainly keeping chair warm retire training minimal;0.64;-0.11;0.77;0
ExxonMobil;Not the company it used to be;Excellent benefits and work colleagues. Challenging assignments and opportunities to grow.;Poor morale and heavy workloads leave employees feeling under valued. Opportunities to live and work abroad are now non-existent.2 people found this review helpfulHelpfulShareRepor;pro excellent benefit work colleague challenging assignment opportunity grow con poor morale heavy workload leave employee feeling valued opportunity live work abroad non existent people found review helpfulhelpfulsharerepor;0.86;0.4;0.92;0
ExxonMobil;Why Exxon;Best career choice for me;Not working enough getting the job done;pro best career choice con working enough getting job done;0.64;0.0;0.64;0
ExxonMobil;Mixed Feelings;Great Pay, Great hardworking people.;They are finding themselves with regards to onsite engineering support. They have an ambiguous goal to push more support overseas however this has just caused a lot of confusion for the future and has hindered potential career paths if desiring to change roles and progress to different jobs while staying at ExxonMobil.;pro great pay great hardworking people con finding regard onsite engineering support ambiguous goal push support overseas however caused lot confusion future hindered potential career path desiring change role progress different job staying exxonmobil;0.83;0.74;0.93;0
ExxonMobil;Don't come;nothing, benefit maybe? flexible somewhat;too many layers, too many people only politicians;pro nothing benefit maybe flexible somewhat con many layer many people politician;-0.48;0.0;-0.48;0
ExxonMobil;No;Good not great middle management;Bad not to bad so not like hell or anything;pro good great middle management con bad bad like hell anything;-0.1;0.22;-0.48;0
ExxonMobil;Review;Close to home Near a chipotle;No career path Poor review methodology;pro close home near chipotle con career path poor review methodology;0.0;-0.65;-0.48;0
ExxonMobil;Broken;Some amazing colleagues. Decent pace in getting new assignments. Not too much micro-management and good level of responsibility/influence for individual contributors.;"More and more, the wrong people are become supervisors without adequate skills and training. Management will defend them to no end while constantly criticizing individual contributors. The amount of rework on small things is outrageous meanwhile critical tasks aren't getting completed due to poor work prioritization from the supervisor. New performance assessments are more of a popularity and personality contest as supervisors fail to understand and give proper credit for real work by employees. People will tell outright lies to try and get their way or put others down. Employee concerns are not properly addressed as the organization only cares about what's coming from the top-down. The individuals who do care aren't are in a position to bring change. Work life balance and flex policies are a joke for most jobs. My coworkers are stressed, frustrated, and running out of patience. Despite all this, management continues to paint things as a pretty picture and will repeatedly talk about culture and ""one team"" and how we should be so excited to be a part of this work. There are way too many managers and too many p***ing contests that results in lack of clarity and constant change in direction for individual contributors. Leadership team is nearly all male and white. Contributions by and perspective from people of color are diminished whereas others are recognized for doing base business job functions.1 person found this review helpfulHelpfulShareRepor";pro amazing colleague decent pace getting new assignment much micro management good level responsibility influence individual contributor con wrong people become supervisor without adequate skill training management defend end constantly criticizing individual contributor amount rework small thing outrageous meanwhile critical task getting completed due poor work prioritization supervisor new performance assessment popularity personality contest supervisor fail understand give proper credit real work employee people tell outright lie try get way put others employee concern properly addressed organization care coming top individual care position bring change work life balance flex policy joke job coworkers stressed frustrated running patience despite management continues paint thing pretty picture repeatedly talk culture one team excited part work way many manager many p ing contest result lack clarity constant change direction individual contributor leadership team nearly male white contribution perspective people color diminished whereas others recognized base business job function person found review helpfulhelpfulsharerepor;0.77;-0.8;0.59;0
ExxonMobil;Culture is depressing;Work life balance is good.;Pay is low, tech stack is behind the times, not a lot of opportunities for technical people;pro work life balance good con pay low tech stack behind time lot opportunity technical people;0.44;0.03;0.49;0
ExxonMobil;terrible morale;large company with lots to do;forced ranking system causes competition between coworkers rather than collaboration. New hires should not expect support from their assigned technical mentor. They don't advertise it, but they PIP 20% of 0-5 year employees during down times, meaning their layoffs disproportionately target the new employees. Management has their head in the sand and refuses to acknowledge problems with the system or the energy transition;pro large company lot con forced ranking system cause competition coworkers rather collaboration new hire expect support assigned technical mentor advertise pip year employee time meaning layoff disproportionately target new employee management head sand refuse acknowledge problem system energy transition;0.0;-0.55;-0.48;0
ExxonMobil;Lip Service;Employees are intelligent, genuine people.;Leadership claims to seek culture change but a lot of talk and no action;pro employee intelligent genuine people con leadership claim seek culture change lot talk action;0.46;-0.42;0.46;0
ExxonMobil;Good company to work for;Great salary, great compensation and opportunities to learn;A lot of middle managers which create a significant delay in actions;pro great salary great compensation opportunity learn con lot middle manager create significant delay action;0.9;0.15;0.91;0
ExxonMobil;Dont let the money fool you;good money, plenty of hours;bad environment, lack of support, no career progression, good old boy club, expensive health care1 person found this review helpfulHelpfulShareRepor;pro good money plenty hour con bad environment lack support career progression good old boy club expensive health care person found review helpfulhelpfulsharerepor;0.44;-0.34;0.71;0
ExxonMobil;ExxonMobil;Competitive pay, resources, benefits, and coworkers.;Senior management vision is not clear. Much time wasted on non-value added work.;pro competitive pay resource benefit coworkers con senior management vision clear much time wasted non value added work;0.44;-0.52;0.73;0
ExxonMobil;Stability… for me at least;Good pay, good benefits and some flexibility;Outdated management mentalities. Slow moving and slow to change. Cutthroat environment and ranking system with biased promotions.;pro good pay good benefit flexibility con outdated management mentality slow moving slow change cutthroat environment ranking system biased promotion;0.86;-0.27;0.83;0
ExxonMobil;Resume review;"Broad set of opportunities; high level coworkers; high impact projects";"Large company that strongly resists change even for the better; functional organization that prioritizes local excellence over organizational excellence";pro broad set opportunity high level coworkers high impact project con large company strongly resists change even better functional organization prioritizes local excellence organizational excellence;0.38;0.92;0.94;0
ExxonMobil;Good Company;Company with good benefits to offer.;Company is making changes due to the effect of covid.;pro company good benefit offer con company making change due effect covid;0.67;0.0;0.71;0
ExxonMobil;Good Company with Great Benefits for Families;- Great benefits for families - Good overall compensation package - Many opportunities for learning;- Compensation program lacks transparency - Compensation Competitiveness;pro great benefit family good overall compensation package many opportunity learning con compensation program lack transparency compensation competitiveness;0.9;0.0;0.89;0
ExxonMobil;N\A;Good company to work at.;Not applicable and not applicable;pro good company work con applicable applicable;0.44;0.0;0.44;0
ExxonMobil;Hard but rewarding;Quick learning environment, friendly coworkers;Stressful, long hours, at times don’t feel like your work matters;pro quick learning environment friendly coworkers con stressful long hour time feel like work matter;0.49;-0.18;0.36;0
ExxonMobil;Good money, tough culture;Salary, benefits, smart people, good colleagues;Rigid, inflexible, old school mentality, arrogant senior management set on staying the course;pro salary benefit smart people good colleague con rigid inflexible old school mentality arrogant senior management set staying course;0.8;-0.57;0.6;0
ExxonMobil;Ugh;abundance of high-end legal work;"no transparency in performance evaluation/promotions/pay; attrition is getting out of control with little response from management; pay is below energy market except for select few (i.e., management and 'favorites')2 people found this review helpfulHelpfulShareRepor";pro abundance high end legal work con transparency performance evaluation promotion pay attrition getting control little response management pay energy market except select e management favorite people found review helpfulhelpfulsharerepor;0.13;-0.13;0.62;0
ExxonMobil;Poorly Managed - Lagging in Pay and Benefits;Large and exciting projects to execute across the globe.;"Corporation is ran out of Dallas, far from the actual work, who has turned a deaf ear to Houston. As a result, pay lags other project organizations, yearly performance system is being used to manage masked layoffs, and the corporation often feels at best, leaderless; at worst, intentionally anti-employee.4 people found this review helpfulHelpfulShareRepor";pro large exciting project execute across globe con corporation ran dallas far actual work turned deaf ear houston result pay lag project organization yearly performance system used manage masked layoff corporation often feel best leaderless worst intentionally anti employee people found review helpfulhelpfulsharerepor;0.49;-0.42;-0.2;0
ExxonMobil;Job is not worth the paper the application is printed on;Ability to meet a diverse range of people.;Absolutely no adequate training was given. Lack of management. Inadequate pay for job responsibilities.1 person found this review helpfulHelpfulShareRepor;pro ability meet diverse range people con absolutely adequate training given lack management inadequate pay job responsibility person found review helpfulhelpfulsharerepor;0.32;-0.72;-0.23;0
ExxonMobil;Too much change;Good benefits, still offer a pension.;Too many changes to the way they manage their people. No longer feel like they value their employees.;pro good benefit still offer pension con many change way manage people longer feel like value employee;0.67;0.4;0.87;0
ExxonMobil;Busy Busy;There is a whole lot to learn .;You'll be so busy , your head will spin .;pro whole lot learn con busy head spin;0.0;0.0;0.0;0
ExxonMobil;bad company overall;salary is not bad at all;ranking system is very bad2 people found this review helpfulHelpfulShareRepor;pro salary bad con ranking system bad people found review helpfulhelpfulsharerepor;0.43;0.0;-0.79;0
ExxonMobil;Opportunity rich, Culture poor;Size, salary and benefits, opportunities, safety culture;Corporate culture (communications were poor and demotivated workforce), not agile or flexible, stressful environment, poor workplace flexibility (no work from home even if job would accommodate).;pro size salary benefit opportunity safety culture con corporate culture communication poor demotivated workforce agile flexible stressful environment poor workplace flexibility work home even job would accommodate;0.79;-0.83;0.34;0
ExxonMobil;Great place to start & finish your career;Great pay, great benefits, great coworkers, and pension;Too much micro Management and lack of training;pro great pay great benefit great coworkers pension con much micro management lack training;0.94;-0.32;0.93;0
ExxonMobil;Great place to work;Opportunities for growth and many learning opportunities Great people Networking Flexibility;Intercompany communication can be improved.;pro opportunity growth many learning opportunity great people networking flexibility con intercompany communication improved;0.92;0.48;0.95;0
ExxonMobil;Great company;The benefits are great !;The work can be redundant;pro benefit great con work redundant;0.79;0.0;0.8;0
ExxonMobil;Steady but lagging;Top-caliber co-workers and very interesting opportunities. Compensation is fair and (until recently) my job felt extremely secure, as long as I performed satisfactorily.;ExxonMobil has never been a leader in the areas of work culture and more “progressive” benefits (work/life balance, soft benefits, etc), but they made up for it with the comfort of long term job security. With last year’s layoffs, this comfort has been damaged, and the company now has some catching up to do in the areas of benefits and day-to-day employee satisfaction if it wants to continue to attract and retain the highest caliber employees, as it has in the past.8 people found this review helpfulHelpfulShareRepor;pro top caliber co worker interesting opportunity compensation fair recently job felt extremely secure long performed satisfactorily con exxonmobil never leader area work culture progressive benefit work life balance soft benefit etc made comfort long term job security last year layoff comfort damaged company catching area benefit day day employee satisfaction want continue attract retain highest caliber employee past people found review helpfulhelpfulsharerepor;0.91;0.96;0.98;0
ExxonMobil;Software Development Jobs Different from Tech Industry;Good work life balance Lots of long-term benefits;Not much support for Software developers;pro good work life balance lot long term benefit con much support software developer;0.67;-0.31;0.82;0
ExxonMobil;Became an unmotivating place to work after COVID-19;Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension;"Non-transparent leadership. Politics, general bureaucracy continue to trump culture change attempts and ranking. Ranking relative to peers - so there will always be someone in the bottom to fire no matter how talented/hard working they are. Ranking system focused on number of worklist items completed and not taking into account intangible impacts like mentoring, taking initiative to step up to fill gaps for advising, creating/maintaining strong teams and a positive culture. Supervisors resist real change despite being advocates for culture change. Culture change driven from top down and formed to suit leadership although presented to satisfy the majority of the workforce. Company struggles to remedy low moral after COVID-19; 401k match paused and sizeable firings disguised as headcount studies and performance rankings. Company leadership has directly replied to the workforce that they should be happy and thankful they still have a job when asked what the leadership's plan was to resolve low morale and restore the elements that attract and retain employees. Only 2 weeks vacation for new hires, do not get 3rd week until 5 years of service (they do honor previous employment).2 people found this review helpfulHelpfulShareRepor";pro average salary smart friendly coworkers insurance benefit retirement pension con non transparent leadership politics general bureaucracy continue trump culture change attempt ranking ranking relative peer always someone bottom fire matter talented hard working ranking system focused number worklist item completed taking account intangible impact like mentoring taking initiative step fill gap advising creating maintaining strong team positive culture supervisor resist real change despite advocate culture change culture change driven top formed suit leadership although presented satisfy majority workforce company struggle remedy low moral covid k match paused sizeable firing disguised headcount study performance ranking company leadership directly replied workforce happy thankful still job asked leadership plan resolve low morale restore element attract retain employee week vacation new hire get rd week year service honor previous employment people found review helpfulhelpfulsharerepor;0.82;0.97;0.99;0
ExxonMobil;;Great career options for engineers;Career options can be limited geographically;pro great career option engineer con career option limited geographically;0.62;-0.23;0.49;0
ExxonMobil;Pathetic company;Nice infrastructure with decent technology equipment;Don’t value its employees. Performance assessment system mediocre.1 person found this review helpfulHelpfulShareRepor;pro nice infrastructure decent technology equipment con value employee performance assessment system mediocre person found review helpfulhelpfulsharerepor;0.42;0.34;0.64;0
ExxonMobil;Am I blind?;Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn;Internal messaging requires improvement Empathetic leaders need to be more visible (they do exist);pro focus employee development strong project portfolio metric demonstrate strong performance coming downturn con internal messaging requires improvement empathetic leader need visible exist;0.77;0.69;0.91;0
ExxonMobil;Beast of a Company;Challenging work, international opportunities, high reward;Inflexible, old school, seniority matters more than talent/skill, don’t embrace change;pro challenging work international opportunity high reward con inflexible old school seniority matter talent skill embrace change;0.78;0.34;0.91;0
ExxonMobil;Look elsewhere;Very few pros. Used to be a great company to work for. Culture has decayed.;Culture has decayed. No longer the company of choice.1 person found this review helpfulHelpfulShareRepor;pro pro used great company work culture decayed con culture decayed longer company choice person found review helpfulhelpfulsharerepor;0.36;-0.59;-0.03;0
ExxonMobil;Good benefits even in this day and age;Benefits, Training for young people, Diversity of people, Diversity of jobs;"Middle management (Too many, too political); no team work (everyone works for himself/herself, including all levels of management)";pro benefit training young people diversity people diversity job con middle management many political team work everyone work including level management;0.38;-0.3;0.46;0
