,ID,Initial_ID,text,S,insurance,safety,balance,retirement,culture,racism,sexism,ageism,benefits,opportunities,privacy,resources
4996,4996,594,Competitive workplace offering opportunity to advance the state of art in jet engines.. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4995,4995,593,GE Management training programs The culture at the business level is a collaborative environment and gets things done Career opportunities at multiple businesses. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4993,4993,591,If you have the desire to work through the corporation,0,0,0,0,0,0,0,0,0,0,1,0,0
4991,4991,589,Great benefit,0,0,0,0,0,0,0,0,0,1,0,0,0
4990,4990,588,Insurance,0,1,0,0,0,0,0,0,0,0,0,0,0
4986,4986,584,Flexibility,0,0,0,1,0,0,0,0,0,0,0,0,0
4985,4985,583,Took care of employees. Great benefits.. ,1,0,0,0,0,1,0,0,0,1,0,0,0
4983,4983,581,good leadership culture that encourages risk taking. ,1,0,0,0,0,0,0,0,0,0,0,0,0
4982,4982,580,Good opportunity to learn across several product types. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4972,4972,570,work life balance is great. ,1,0,0,1,0,0,0,0,0,0,0,0,0
4970,4970,568,opportunity for growth,0,0,0,0,0,0,0,0,0,0,1,0,0
4968,4968,566,Good company to work with. Work life balance. ,1,0,0,1,0,1,0,0,0,0,0,0,0
4962,4962,560,Big company a lot of opportunities. ,1,0,0,0,0,0,0,0,0,0,1,0,0
4952,4952,550,Great learning opportunities for in-house lawyers. ,1,0,0,0,0,0,0,0,0,0,1,0,0
