;Company;date;employee_title;employee_status;review_title;pros;cons
20;ExxonMobil;2021-10-14;Mechanical Engineer;Current Employee, more than 8 years;Very competitive to hold a job;"Great benefits and pay. Great parental time off and consideration for sick leave
";"Very competitive to remain working for this company. Yearly performance reviews are not very thorough and many times show personal emotions from supervisors instead of real objective results accomplished by the employers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
21;ExxonMobil;2021-10-14;Facilities Engineer;Former Employee, more than 1 year;Employees are Good, Management Could be Better;"A lot of the people you work with are delightful, willing to teach, and genuinely want to be productive helpful employees. A lot of employees are willing to mentor and the career opportunities at the corporation are fantastic. Pay was great, benefits too. Best I've seen in the energy industry.
";"Forced ranking system is archaic and disincentives team work. Insecure employees end up working for themselves rather than the good of the corporation and turn to political games that help nobody except make themselves look good at the expense of productivity for the company Some employees and their managers in field offices are glaringly inappropriate. Good ole boy mentality outside Houston. Employees are highly commoditized and WFH is not accomodated
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
22;ExxonMobil;2021-10-13;Business Controls Advisor;Current Employee, more than 10 years;Good company in need of new thinking;"Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.
";"Management too imperial, not collaborative. Promotion based on company politics rather than ability. Slow to change, very process oriented.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
23;ExxonMobil;2021-10-12;Project Lead;Former Employee, more than 10 years;Used to be a great place;"You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).
";"Projects organization has lost its rudder and has not been able to effectively put the new reorganization plans into place. Ranking & Rating system is opaque and arbitrary. Performance feedback it typically contradictory and useless. Supervisors don't give your career and interests much consideration. Workplace becoming increasingly toxic.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
24;ExxonMobil;2021-10-12;Business Development;Current Employee, more than 3 years;Struggling with change;"Huge resources, meritocracy, very intriguin intelligent and capable people
";"Resists changes, very short to adapt
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
25;ExxonMobil;2021-09-18;Anonymous;Current Employee, more than 10 years;Should I work for ExxonMobil;"Career development process based on internal promotion Global leader in BtoB with strong company values and culture Long term need for Energy and opportunities for transformation Competitiveness through internal integration and technology International and diverse activities Changing staff demographics
";"Current industry turmoil resulting in projects freeze and staff reduction Negative public image and uncertainties about energy transition Changing staff demographics Salary and Benefits
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
26;ExxonMobil;2021-10-08;First Line Supervisor;Former Employee;Thankful;"Benefits is the best thing about company.
";"Upper management is the problem.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
27;ExxonMobil;2021-09-19;IT Specialist;Current Employee, more than 8 years;Great company;"Paid well Competitive environment New opportunities (job rotation every 2-3 years) Values training and providing resources for personal/job growth
";"Due to market, reduced project opportunities and ""Do more with less"" Top down military style management at the higher levels. Lower has decision spaces and empowerment but that is not consistent at the higher management tiers. Pay may drop down to average if raises stop
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
28;ExxonMobil;2021-10-07;Assistant Store Manager;Current Employee, more than 3 years;Good Work;"Good work. Gas is always in the pump
";"Need better candy selection on the shelves
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
29;ExxonMobil;2021-10-07;Chemical Engineer;Current Employee;Large Bureaucratic Company;"Solid pay, don't need to do much
";"Play a lot of telephone between people
Be the first to find this review helpful
Helpful
Share
Repor"
30;ExxonMobil;2021-09-22;Planning Engineer;Current Employee;Fast Paced;"Fast paced dynamic innovative company
";"Massive corporation , global policies do not always apply for bespoke environments
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
31;ExxonMobil;2021-10-04;Project Manager;Current Employee, more than 10 years;Great colleagues, awful senior management;"- Work with some of the best and brightest people - Challenging projects, great stretch opportunities - Good pay for well performing individuals
";"- Sr. Management does not care about workforce - Often see Sr. Management making poor business decisions - ""Be happy you have a job"" philosophy pushed onto employees
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
32;ExxonMobil;2021-09-17;Advisor;Current Employee;Been a great place to work;"Good pay and benefits, stable employer with few layoffs, great colleagues
";"Slow decision making, need to adjust to new realities
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
33;ExxonMobil;2021-09-30;Member Of Technical Staff;Current Employee, more than 8 years;Lack of vision and a toxic culture.;"Technology leader. Fundamental research. History of innovation.
";"Toxic culture. Lack of vision.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
34;ExxonMobil;2021-09-14;Gas Station Attendant;Current Employee, more than 3 years;Clerk;"very relaxing, not much to do
";"Dealing with entitled people at a gas station, it’s basically $5 and below
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
35;ExxonMobil;2021-09-28;Business Controls Advisor;Current Employee;Stable company with good pay and benefits;"Decent pay, good benefits, good retirement, high quality people within the company
";"Forced annual rankings, jobs are picked for you, difficult to implement changes
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
36;ExxonMobil;2021-09-14;Intern;Former Employee;good company;"everyone was very friendly and nice
";"there was a lot of pressure
Be the first to find this review helpful
Helpful
Share
Repor"
37;ExxonMobil;2021-09-25;First Line Supervisor;Former Employee, more than 5 years;Good company for a stable career;"Very competitive Benefits package. Working environment is not bad
";"Not a lot of Opportunities to move across departments. Poor career management plan especially if you don’t have a mentor fighting for your interest. Not enough diversity in culture and management Very slow to innovate.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
38;ExxonMobil;2021-09-28;Marketing Manager;Current Employee;Good opportunities, competitive culture;"Breadth of opportunities, challenging roles, Pension
";"Political, analysis paralysis, inward focused
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
39;ExxonMobil;2021-09-25;Cashier;Former Employee;Not bad to work for;"Easy work and flexible hours
";"No raises so customers are irate
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
40;ExxonMobil;2021-09-26;Engineer;Current Employee;Okay but could be better;"Salary and benefits. Travel during good times.
";"Nepotism. Bias. Elitist. Glass ceilings for all but a few select few.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
41;ExxonMobil;2021-09-11;Vendor Systems Managed Specialist;Former Employee;Amazing Campus with not so amazing staff;"So many options available to you such as places to eat, coffee, pharmacy, dentist, eye care, and more Work flexibility Pay Time off Insurance Pension
";"A lot of the the people are entitled and are not willing to help others grow and learn in fear of someone else besides themselves moving up. The people who are close to retirement are no longer really working but mainly just keeping there chair warm until they can retire. The training is minimal if any at all
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
42;ExxonMobil;2021-09-03;Supervisor;Former Employee, more than 8 years;Not the company it used to be;"Excellent benefits and work colleagues. Challenging assignments and opportunities to grow.
";"Poor morale and heavy workloads leave employees feeling under valued. Opportunities to live and work abroad are now non-existent.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
43;ExxonMobil;2021-09-07;Lab Technician;Current Employee;Why Exxon;"Best career choice for me
";"Not working enough getting the job done
Be the first to find this review helpful
Helpful
Share
Repor"
44;ExxonMobil;2021-09-21;Engineer;Current Employee;Mixed Feelings;"Great Pay, Great hardworking people.
";"They are finding themselves with regards to onsite engineering support. They have an ambiguous goal to push more support overseas however this has just caused a lot of confusion for the future and has hindered potential career paths if desiring to change roles and progress to different jobs while staying at ExxonMobil.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
45;ExxonMobil;2021-10-12;Senior Research Engineer;Current Employee;Don't come;"nothing, benefit maybe? flexible somewhat
";"too many layers, too many people only politicians
Be the first to find this review helpful
Helpful
Share
Repor"
46;ExxonMobil;2021-09-06;Instrument Technician;Current Employee;No;"Good not great middle management
";"Bad not to bad so not like hell or anything
Be the first to find this review helpful
Helpful
Share
Repor"
47;ExxonMobil;2021-09-20;Senior Developer;Current Employee;Review;"Close to home Near a chipotle
";"No career path Poor review methodology
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
48;ExxonMobil;2021-09-19;Anonymous;Current Employee, more than 8 years;Broken;"Some amazing colleagues. Decent pace in getting new assignments. Not too much micro-management and good level of responsibility/influence for individual contributors.
";"More and more, the wrong people are become supervisors without adequate skills and training. Management will defend them to no end while constantly criticizing individual contributors. The amount of rework on small things is outrageous meanwhile critical tasks aren't getting completed due to poor work prioritization from the supervisor. New performance assessments are more of a popularity and personality contest as supervisors fail to understand and give proper credit for real work by employees. People will tell outright lies to try and get their way or put others down. Employee concerns are not properly addressed as the organization only cares about what's coming from the top-down. The individuals who do care aren't are in a position to bring change. Work life balance and flex policies are a joke for most jobs. My coworkers are stressed, frustrated, and running out of patience. Despite all this, management continues to paint things as a pretty picture and will repeatedly talk about culture and ""one team"" and how we should be so excited to be a part of this work. There are way too many managers and too many p***ing contests that results in lack of clarity and constant change in direction for individual contributors. Leadership team is nearly all male and white. Contributions by and perspective from people of color are diminished whereas others are recognized for doing base business job functions.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
49;ExxonMobil;2021-10-10;Software Engineer;Current Employee, more than 3 years;Culture is depressing;"Work life balance is good.
";"Pay is low, tech stack is behind the times, not a lot of opportunities for technical people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
50;ExxonMobil;2021-10-11;Senior Geoscientist;Former Employee;terrible morale;"large company with lots to do
";"forced ranking system causes competition between coworkers rather than collaboration. New hires should not expect support from their assigned technical mentor. They don't advertise it, but they PIP 20% of 0-5 year employees during down times, meaning their layoffs disproportionately target the new employees. Management has their head in the sand and refuses to acknowledge problems with the system or the energy transition
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
51;ExxonMobil;2021-09-18;Technology Services Professional;Current Employee, more than 8 years;Lip Service;"Employees are intelligent, genuine people.
";"Leadership claims to seek culture change but a lot of talk and no action
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
52;ExxonMobil;2021-09-03;Financial Controller;Current Employee, less than 1 year;Good company to work for;"Great salary, great compensation and opportunities to learn
";"A lot of middle managers which create a significant delay in actions
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
53;ExxonMobil;2021-10-07;Process Technician;Former Employee, more than 1 year;Dont let the money fool you;"good money, plenty of hours
";"bad environment, lack of support, no career progression, good old boy club, expensive health care
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
54;ExxonMobil;2021-09-16;Global Advisor;Current Employee, more than 3 years;ExxonMobil;"Competitive pay, resources, benefits, and coworkers.
";"Senior management vision is not clear. Much time wasted on non-value added work.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
55;ExxonMobil;2021-09-16;IT Advisory;Current Employee;Stability… for me at least;"Good pay, good benefits and some flexibility
";"Outdated management mentalities. Slow moving and slow to change. Cutthroat environment and ranking system with biased promotions.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
56;ExxonMobil;2021-09-16;Production Advisor;Current Employee, more than 10 years;Resume review;"Broad set of opportunities; high level coworkers; high impact projects
";"Large company that strongly resists change even for the better; functional organization that prioritizes local excellence over organizational excellence
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
57;ExxonMobil;2021-09-01;Business Office Manager;Current Employee;Good Company;"Company with good benefits to offer.
";"Company is making changes due to the effect of covid.
Be the first to find this review helpful
Helpful
Share
Repor"
58;ExxonMobil;2021-09-01;Analyst;Current Employee;Good Company with Great Benefits for Families;"- Great benefits for families - Good overall compensation package - Many opportunities for learning
";"- Compensation program lacks transparency - Compensation Competitiveness
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
59;ExxonMobil;2021-09-01;Field Support Technician;Former Employee;N\A;"Good company to work at.
";"Not applicable and not applicable
Be the first to find this review helpful
Helpful
Share
Repor"
60;ExxonMobil;2021-09-15;Process Engineer;Current Employee;Hard but rewarding;"Quick learning environment, friendly coworkers
";"Stressful, long hours, at times don’t feel like your work matters
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
61;ExxonMobil;2021-09-14;Manager;Former Employee;Good money, tough culture;"Salary, benefits, smart people, good colleagues
";"Rigid, inflexible, old school mentality, arrogant senior management set on staying the course
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
62;ExxonMobil;2021-10-04;Legal Counsel;Current Employee;Ugh;"abundance of high-end legal work
";"no transparency in performance evaluation/promotions/pay; attrition is getting out of control with little response from management; pay is below energy market except for select few (i.e., management and 'favorites')
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
63;ExxonMobil;2021-10-02;Advisor;Current Employee, more than 10 years;Poorly Managed - Lagging in Pay and Benefits;"Large and exciting projects to execute across the globe.
";"Corporation is ran out of Dallas, far from the actual work, who has turned a deaf ear to Houston. As a result, pay lags other project organizations, yearly performance system is being used to manage masked layoffs, and the corporation often feels at best, leaderless; at worst, intentionally anti-employee.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
64;ExxonMobil;2021-10-04;Gas Station Attendant;Former Employee, less than 1 year;Job is not worth the paper the application is printed on;"Ability to meet a diverse range of people.
";"Absolutely no adequate training was given. Lack of management. Inadequate pay for job responsibilities.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
65;ExxonMobil;2021-09-13;Drilling Supervisor;Current Employee;Too much change;"Good benefits, still offer a pension.
";"Too many changes to the way they manage their people. No longer feel like they value their employees.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
66;ExxonMobil;2021-09-13;Mechanical Engineer;Current Employee, more than 1 year;Busy Busy;"There is a whole lot to learn .
";"You'll be so busy , your head will spin .
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
67;ExxonMobil;2021-09-08;Engineer;Current Employee, more than 8 years;bad company overall;"salary is not bad at all
";"ranking system is very bad
2 people found this review helpful
Helpful
Share
Repor"
68;ExxonMobil;2021-09-10;Project Manager;Former Employee;Opportunity rich, Culture poor;"Size, salary and benefits, opportunities, safety culture
";"Corporate culture (communications were poor and demotivated workforce), not agile or flexible, stressful environment, poor workplace flexibility (no work from home even if job would accommodate).
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
69;ExxonMobil;2021-08-26;Ethylene Field Operator;Current Employee;Great place to start & finish your career;"Great pay, great benefits, great coworkers, and pension
";"Too much micro Management and lack of training
Be the first to find this review helpful
Helpful
Share
Repor"
70;ExxonMobil;2021-08-26;P2P Analyst;Former Employee, more than 5 years;Great place to work;"Opportunities for growth and many learning opportunities Great people Networking Flexibility
";"Intercompany communication can be improved.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
71;ExxonMobil;2021-08-23;Manager;Current Employee;Great company;"The benefits are great !
";"The work can be redundant
Be the first to find this review helpful
Helpful
Share
Repor"
72;ExxonMobil;2021-08-03;Lead Engineer;Current Employee;Steady but lagging;"Top-caliber co-workers and very interesting opportunities. Compensation is fair and (until recently) my job felt extremely secure, as long as I performed satisfactorily.
";"ExxonMobil has never been a leader in the areas of work culture and more “progressive” benefits (work/life balance, soft benefits, etc), but they made up for it with the comfort of long term job security. With last year’s layoffs, this comfort has been damaged, and the company now has some catching up to do in the areas of benefits and day-to-day employee satisfaction if it wants to continue to attract and retain the highest caliber employees, as it has in the past.
Verify your email to continue reading or Resend email
8 people found this review helpful
Helpful
Share
Repor"
73;ExxonMobil;2021-09-07;Software Engineer;Current Employee;Software Development Jobs Different from Tech Industry;"Good work life balance Lots of long-term benefits
";"Not much support for Software developers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
74;ExxonMobil;2021-09-01;Chemical Engineer;Former Employee;Became an unmotivating place to work after COVID-19;"Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension
";"Non-transparent leadership. Politics, general bureaucracy continue to trump culture change attempts and ranking. Ranking relative to peers - so there will always be someone in the bottom to fire no matter how talented/hard working they are. Ranking system focused on number of worklist items completed and not taking into account intangible impacts like mentoring, taking initiative to step up to fill gaps for advising, creating/maintaining strong teams and a positive culture. Supervisors resist real change despite being advocates for culture change. Culture change driven from top down and formed to suit leadership although presented to satisfy the majority of the workforce. Company struggles to remedy low moral after COVID-19; 401k match paused and sizeable firings disguised as headcount studies and performance rankings. Company leadership has directly replied to the workforce that they should be happy and thankful they still have a job when asked what the leadership's plan was to resolve low morale and restore the elements that attract and retain employees. Only 2 weeks vacation for new hires, do not get 3rd week until 5 years of service (they do honor previous employment).
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
75;ExxonMobil;2021-08-19;Process Engineer;Current Employee;;"Great career options for engineers
";"Career options can be limited geographically
Be the first to find this review helpful
Helpful
Share
Repor"
76;ExxonMobil;2021-09-24;IT Manager;Current Employee;Pathetic company;"Nice infrastructure with decent technology equipment
";"Don’t value its employees. Performance assessment system mediocre.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
77;ExxonMobil;2021-08-20;Project Manager;Current Employee;Am I blind?;"Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn
";"Internal messaging requires improvement Empathetic leaders need to be more visible (they do exist)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
78;ExxonMobil;2021-08-20;Project Engineer;Current Employee;Beast of a Company;"Challenging work, international opportunities, high reward
";"Inflexible, old school, seniority matters more than talent/skill, don’t embrace change
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
79;ExxonMobil;2021-08-31;Project Engineer;Current Employee, more than 3 years;Look elsewhere;"Very few pros. Used to be a great company to work for. Culture has decayed.
";"Culture has decayed. No longer the company of choice.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
80;ExxonMobil;2021-09-03;Technology Lead;Current Employee, more than 10 years;Good benefits even in this day and age;"Benefits, Training for young people, Diversity of people, Diversity of jobs
";"Middle management (Too many, too political); no team work (everyone works for himself/herself, including all levels of management)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
81;ExxonMobil;2021-08-19;Supply Chain Coordinator;Former Employee, more than 1 year;Escape while you can!;"- Some peers make this place bearable through trauma bonding - The campus is beautiful and you can take froyo breaks - If you are lucky enough to be at one of the Houston sites, you do not have state income tax - You get to learn if you like oil, gas, & chemicals or not
";"- The worst management (including supervisors) gets promoted & many are micromanagers - Upper management has selective hearing when it comes to feedback - Some sites (Beaumont and Baton Rouge) are worse than living in Chernobyl - All the diverse and friendly people leave within the first couple of years - Executives like pocketing more money for themselves while lower level employees face minimal salary raises (if we get salary raises) - Lack of transparency across the board (i.e. we learn of salary freezes, 401k cuts, layoffs, etc. through news outlets) - The younger generation knows this industry is not sustainable and views Exxon as the most evil compared to its peers - Communications on serious issues (i.e. COVID, BLM, Anti-Asian rhetoric) are purely reactive and are put out there as a response to employee dissatisfaction - Working from home for non-essential roles was not an option, even as peers contracted COVID-19. The company's scapegoat was ""they likely were exposed during their lunch break"" since the exposure could not be ""proven"" to occur during the 12-person meeting in the conference room (note this was before vaccines were rolled out). - Everything is an ""emergency"" in the eyes of management and they will drain your energy preparing for minute issues - Overall lack of diversity that will continue to propagate discriminatory behavior and microaggressions throughout the company - ""This is the way we've always done it, so we will continue doing everything this way"" will get you rewarded rather than challenging the status quo - The CEO and other executives only care about shareholders, never the individual contributors - Town Halls will actively censor messages and questions - ""Management's hands are tied"" is the excuse that is communicated for everything - Roles will continue to be outsourced abroad to save costs, despite the additional complications with timely communications - Management will not admit that they a culture revamp to retain talent - Talent is escaping to industries that better value their employees (i.e. Tech & Consulting), but Exxon will not enhance their benefits package accordingly - Only Chemical Engineering degrees are truly valued in the company. This is a not-so-secret expectation on how to quickly accelerate your career here. - Sustainability initiatives are minimal - In order to be successful, you are required to follow a traditional career path through manufacturing roles - If you do something bad, supervisors will not support you. If you do something good, supervisors will take credit for the work you did. - The expectation is that you need to respond within 24 hours if someone needs you while on vacation - The cultural issues stem throughout the entire company! Not only within one function (i.e. chemicals vs. upstream or supply chain vs. technical) - A supervisor once told me ""the people who do well here take ownership,"" which is ironic considering that the company as a whole has not been taking ownership over its poor culture that has caused top talent to apply elsewhere.
Verify your email to continue reading or Resend email
11 people found this review helpful
Helpful
Share
Repor"
82;ExxonMobil;2021-08-26;Law Department;Current Employee, more than 8 years;Limited growth opportunity and rigorous competitive ranking system for all professionals;"Good place for experience. Lots of good co-workers. Very diverse and woke culture. Benefits are not excellent like they used to be but are still ok. Good place to be from. Looks great on a resume.
";"Opportunities for promotion are limited except for the top 20% of the rank group. Forced, competitive ranking for all professionals, while system is made to look objective is remains highly subject to preferential assignment opportunities, and subjective ranking largely influenced by whether you're in favor with the ranking management. Talent, hard work, amount of work product, quality of work, are not the main determinants of success. Sadly, having the ""right"" corporate appearance and image carry more weight in long-term success than technical or professional skills and production. For most employees, raises are mere cost of living adjustments. The few in the top get the vast lions share of promotions and advancement. The lower half of the rank group will get virtually nothing annually and maybe a one percent raise every 18 months to two years. Notwithstanding the fact that everyone they hire is an academic and professional standout just to get hired in the first place. The company is a morale killer. Stock has not performed and has lost value for over ten years running. The company is in decline.
Verify your email to continue reading or Resend email
5 people found this review helpful
Helpful
Share
Repor"
