Company;review_title;pros;cons;score_pros;score_cons;insurance_pros;safety_pros;balance_pros;retirement_pros;culture_pros;racism_pros;sexism_pros;ageism_pros;benefits_pros;opportunities_pros;privacy_pros;resources_pros;insurance_cons;safety_cons;balance_cons;retirement_cons;culture_cons;racism_cons;sexism_cons;ageism_cons;benefits_cons;opportunities_cons;privacy_cons;resources_cons
ExxonMobil;Should I work for ExxonMobil;Career development process based on internal promotion Global leader in BtoB with strong company values and culture Long term need for Energy and opportunities for transformation Competitiveness through internal integration and technology International and diverse activities Changing staff demographics;Current industry turmoil resulting in projects freeze and staff reduction Negative public image and uncertainties about energy transition Changing staff demographics Salary and Benefits2 people found this review helpfulHelpfulShareRepor;0.87;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Thankful;Benefits is the best thing about company.;Upper management is the problem.;0.78;0.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great company;Paid well Competitive environment New opportunities (job rotation every 2-3 years) Values training and providing resources for personal/job growth;"Due to market, reduced project opportunities and ""Do more with less"" Top down military style management at the higher levels. Lower has decision spaces and empowerment but that is not consistent at the higher management tiers. Pay may drop down to average if raises stop1 person found this review helpfulHelpfulShareRepor";0.87;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good Work;Good work. Gas is always in the pump;Need better candy selection on the shelves;0.44;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Large Bureaucratic Company;Solid pay, don't need to do much;Play a lot of telephone between people;0.05;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Fast Paced;Fast paced dynamic innovative company;Massive corporation , global policies do not always apply for bespoke environments;0.67;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great colleagues, awful senior management;- Work with some of the best and brightest people - Challenging projects, great stretch opportunities - Good pay for well performing individuals;"- Sr. Management does not care about workforce - Often see Sr. Management making poor business decisions - ""Be happy you have a job"" philosophy pushed onto employees1 person found this review helpfulHelpfulShareRepor";0.96;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Been a great place to work;Good pay and benefits, stable employer with few layoffs, great colleagues;Slow decision making, need to adjust to new realities;0.89;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Lack of vision and a toxic culture.;Technology leader. Fundamental research. History of innovation.;Toxic culture. Lack of vision.1 person found this review helpfulHelpfulShareRepor;0.38;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Clerk;very relaxing, not much to do;Dealing with entitled people at a gas station, it’s basically $5 and below;0.54;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Stable company with good pay and benefits;Decent pay, good benefits, good retirement, high quality people within the company;Forced annual rankings, jobs are picked for you, difficult to implement changes;0.79;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;good company;everyone was very friendly and nice;there was a lot of pressure;0.76;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good company for a stable career;Very competitive Benefits package. Working environment is not bad;Not a lot of Opportunities to move across departments. Poor career management plan especially if you don’t have a mentor fighting for your interest. Not enough diversity in culture and management Very slow to innovate.1 person found this review helpfulHelpfulShareRepor;0.77;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good opportunities, competitive culture;Breadth of opportunities, challenging roles, Pension;Political, analysis paralysis, inward focused;0.49;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Not bad to work for;Easy work and flexible hours;No raises so customers are irate;0.59;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Okay but could be better;Salary and benefits. Travel during good times.;Nepotism. Bias. Elitist. Glass ceilings for all but a few select few.;0.67;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Amazing Campus with not so amazing staff;So many options available to you such as places to eat, coffee, pharmacy, dentist, eye care, and more Work flexibility Pay Time off Insurance Pension;A lot of the the people are entitled and are not willing to help others grow and learn in fear of someone else besides themselves moving up. The people who are close to retirement are no longer really working but mainly just keeping there chair warm until they can retire. The training is minimal if any at all;0.64;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Not the company it used to be;Excellent benefits and work colleagues. Challenging assignments and opportunities to grow.;Poor morale and heavy workloads leave employees feeling under valued. Opportunities to live and work abroad are now non-existent.2 people found this review helpfulHelpfulShareRepor;0.86;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Why Exxon;Best career choice for me;Not working enough getting the job done;0.64;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Mixed Feelings;Great Pay, Great hardworking people.;They are finding themselves with regards to onsite engineering support. They have an ambiguous goal to push more support overseas however this has just caused a lot of confusion for the future and has hindered potential career paths if desiring to change roles and progress to different jobs while staying at ExxonMobil.;0.83;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Don't come;nothing, benefit maybe? flexible somewhat;too many layers, too many people only politicians;-0.48;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;No;Good not great middle management;Bad not to bad so not like hell or anything;-0.1;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Review;Close to home Near a chipotle;No career path Poor review methodology;0.0;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Broken;Some amazing colleagues. Decent pace in getting new assignments. Not too much micro-management and good level of responsibility/influence for individual contributors.;"More and more, the wrong people are become supervisors without adequate skills and training. Management will defend them to no end while constantly criticizing individual contributors. The amount of rework on small things is outrageous meanwhile critical tasks aren't getting completed due to poor work prioritization from the supervisor. New performance assessments are more of a popularity and personality contest as supervisors fail to understand and give proper credit for real work by employees. People will tell outright lies to try and get their way or put others down. Employee concerns are not properly addressed as the organization only cares about what's coming from the top-down. The individuals who do care aren't are in a position to bring change. Work life balance and flex policies are a joke for most jobs. My coworkers are stressed, frustrated, and running out of patience. Despite all this, management continues to paint things as a pretty picture and will repeatedly talk about culture and ""one team"" and how we should be so excited to be a part of this work. There are way too many managers and too many p***ing contests that results in lack of clarity and constant change in direction for individual contributors. Leadership team is nearly all male and white. Contributions by and perspective from people of color are diminished whereas others are recognized for doing base business job functions.1 person found this review helpfulHelpfulShareRepor";0.77;-0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Culture is depressing;Work life balance is good.;Pay is low, tech stack is behind the times, not a lot of opportunities for technical people;0.44;0.78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;terrible morale;large company with lots to do;forced ranking system causes competition between coworkers rather than collaboration. New hires should not expect support from their assigned technical mentor. They don't advertise it, but they PIP 20% of 0-5 year employees during down times, meaning their layoffs disproportionately target the new employees. Management has their head in the sand and refuses to acknowledge problems with the system or the energy transition;0.0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Lip Service;Employees are intelligent, genuine people.;Leadership claims to seek culture change but a lot of talk and no action;0.46;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good company to work for;Great salary, great compensation and opportunities to learn;A lot of middle managers which create a significant delay in actions;0.9;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Dont let the money fool you;good money, plenty of hours;bad environment, lack of support, no career progression, good old boy club, expensive health care1 person found this review helpfulHelpfulShareRepor;0.44;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;ExxonMobil;Competitive pay, resources, benefits, and coworkers.;Senior management vision is not clear. Much time wasted on non-value added work.;0.44;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Stability… for me at least;Good pay, good benefits and some flexibility;Outdated management mentalities. Slow moving and slow to change. Cutthroat environment and ranking system with biased promotions.;0.86;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Resume review;"Broad set of opportunities; high level coworkers; high impact projects";"Large company that strongly resists change even for the better; functional organization that prioritizes local excellence over organizational excellence";0.38;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good Company;Company with good benefits to offer.;Company is making changes due to the effect of covid.;0.67;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good Company with Great Benefits for Families;#NOM?;#NOM?;0.9;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;N\A;Good company to work at.;Not applicable and not applicable;0.44;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Hard but rewarding;Quick learning environment, friendly coworkers;Stressful, long hours, at times don’t feel like your work matters;0.49;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good money, tough culture;Salary, benefits, smart people, good colleagues;Rigid, inflexible, old school mentality, arrogant senior management set on staying the course;0.8;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Ugh;abundance of high-end legal work;"no transparency in performance evaluation/promotions/pay; attrition is getting out of control with little response from management; pay is below energy market except for select few (i.e., management and 'favorites')2 people found this review helpfulHelpfulShareRepor";0.13;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Poorly Managed - Lagging in Pay and Benefits;Large and exciting projects to execute across the globe.;"Corporation is ran out of Dallas, far from the actual work, who has turned a deaf ear to Houston. As a result, pay lags other project organizations, yearly performance system is being used to manage masked layoffs, and the corporation often feels at best, leaderless; at worst, intentionally anti-employee.4 people found this review helpfulHelpfulShareRepor";0.49;0.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Job is not worth the paper the application is printed on;Ability to meet a diverse range of people.;Absolutely no adequate training was given. Lack of management. Inadequate pay for job responsibilities.1 person found this review helpfulHelpfulShareRepor;0.32;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Too much change;Good benefits, still offer a pension.;Too many changes to the way they manage their people. No longer feel like they value their employees.;0.67;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Busy Busy;There is a whole lot to learn .;You'll be so busy , your head will spin .;0.0;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;bad company overall;salary is not bad at all;ranking system is very bad2 people found this review helpfulHelpfulShareRepor;0.43;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Opportunity rich, Culture poor;Size, salary and benefits, opportunities, safety culture;Corporate culture (communications were poor and demotivated workforce), not agile or flexible, stressful environment, poor workplace flexibility (no work from home even if job would accommodate).;0.79;-0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great place to start & finish your career;Great pay, great benefits, great coworkers, and pension;Too much micro Management and lack of training;0.94;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great place to work;Opportunities for growth and many learning opportunities Great people Networking Flexibility;Intercompany communication can be improved.;0.92;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Great company;The benefits are great !;The work can be redundant;0.79;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Steady but lagging;Top-caliber co-workers and very interesting opportunities. Compensation is fair and (until recently) my job felt extremely secure, as long as I performed satisfactorily.;ExxonMobil has never been a leader in the areas of work culture and more “progressive” benefits (work/life balance, soft benefits, etc), but they made up for it with the comfort of long term job security. With last year’s layoffs, this comfort has been damaged, and the company now has some catching up to do in the areas of benefits and day-to-day employee satisfaction if it wants to continue to attract and retain the highest caliber employees, as it has in the past.8 people found this review helpfulHelpfulShareRepor;0.91;0.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Software Development Jobs Different from Tech Industry;Good work life balance Lots of long-term benefits;Not much support for Software developers;0.67;0.67;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Became an unmotivating place to work after COVID-19;Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension;"Non-transparent leadership. Politics, general bureaucracy continue to trump culture change attempts and ranking. Ranking relative to peers - so there will always be someone in the bottom to fire no matter how talented/hard working they are. Ranking system focused on number of worklist items completed and not taking into account intangible impacts like mentoring, taking initiative to step up to fill gaps for advising, creating/maintaining strong teams and a positive culture. Supervisors resist real change despite being advocates for culture change. Culture change driven from top down and formed to suit leadership although presented to satisfy the majority of the workforce. Company struggles to remedy low moral after COVID-19; 401k match paused and sizeable firings disguised as headcount studies and performance rankings. Company leadership has directly replied to the workforce that they should be happy and thankful they still have a job when asked what the leadership's plan was to resolve low morale and restore the elements that attract and retain employees. Only 2 weeks vacation for new hires, do not get 3rd week until 5 years of service (they do honor previous employment).2 people found this review helpfulHelpfulShareRepor";0.82;0.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;;Great career options for engineers;Career options can be limited geographically;0.62;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Pathetic company;Nice infrastructure with decent technology equipment;Don’t value its employees. Performance assessment system mediocre.1 person found this review helpfulHelpfulShareRepor;0.42;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Am I blind?;Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn;Internal messaging requires improvement Empathetic leaders need to be more visible (they do exist);0.77;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Beast of a Company;Challenging work, international opportunities, high reward;Inflexible, old school, seniority matters more than talent/skill, don’t embrace change;0.78;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Look elsewhere;Very few pros. Used to be a great company to work for. Culture has decayed.;Culture has decayed. No longer the company of choice.1 person found this review helpfulHelpfulShareRepor;0.36;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Good benefits even in this day and age;Benefits, Training for young people, Diversity of people, Diversity of jobs;"Middle management (Too many, too political); no team work (everyone works for himself/herself, including all levels of management)";0.38;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Escape while you can!;- Some peers make this place bearable through trauma bonding - The campus is beautiful and you can take froyo breaks - If you are lucky enough to be at one of the Houston sites, you do not have state income tax - You get to learn if you like oil, gas, & chemicals or not;"- The worst management (including supervisors) gets promoted & many are micromanagers - Upper management has selective hearing when it comes to feedback - Some sites (Beaumont and Baton Rouge) are worse than living in Chernobyl - All the diverse and friendly people leave within the first couple of years - Executives like pocketing more money for themselves while lower level employees face minimal salary raises (if we get salary raises) - Lack of transparency across the board (i.e. we learn of salary freezes, 401k cuts, layoffs, etc. through news outlets) - The younger generation knows this industry is not sustainable and views Exxon as the most evil compared to its peers - Communications on serious issues (i.e. COVID, BLM, Anti-Asian rhetoric) are purely reactive and are put out there as a response to employee dissatisfaction - Working from home for non-essential roles was not an option, even as peers contracted COVID-19. The company's scapegoat was ""they likely were exposed during their lunch break"" since the exposure could not be ""proven"" to occur during the 12-person meeting in the conference room (note this was before vaccines were rolled out). - Everything is an ""emergency"" in the eyes of management and they will drain your energy preparing for minute issues - Overall lack of diversity that will continue to propagate discriminatory behavior and microaggressions throughout the company - ""This is the way we've always done it, so we will continue doing everything this way"" will get you rewarded rather than challenging the status quo - The CEO and other executives only care about shareholders, never the individual contributors - Town Halls will actively censor messages and questions - ""Management's hands are tied"" is the excuse that is communicated for everything - Roles will continue to be outsourced abroad to save costs, despite the additional complications with timely communications - Management will not admit that they a culture revamp to retain talent - Talent is escaping to industries that better value their employees (i.e. Tech & Consulting), but Exxon will not enhance their benefits package accordingly - Only Chemical Engineering degrees are truly valued in the company. This is a not-so-secret expectation on how to quickly accelerate your career here. - Sustainability initiatives are minimal - In order to be successful, you are required to follow a traditional career path through manufacturing roles - If you do something bad, supervisors will not support you. If you do something good, supervisors will take credit for the work you did. - The expectation is that you need to respond within 24 hours if someone needs you while on vacation - The cultural issues stem throughout the entire company! Not only within one function (i.e. chemicals vs. upstream or supply chain vs. technical) - A supervisor once told me ""the people who do well here take ownership,"" which is ironic considering that the company as a whole has not been taking ownership over its poor culture that has caused top talent to apply elsewhere.11 people found this review helpfulHelpfulShareRepor";0.75;0.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Limited growth opportunity and rigorous competitive ranking system for all professionals;Good place for experience. Lots of good co-workers. Very diverse and woke culture. Benefits are not excellent like they used to be but are still ok. Good place to be from. Looks great on a resume.;"Opportunities for promotion are limited except for the top 20% of the rank group. Forced, competitive ranking for all professionals, while system is made to look objective is remains highly subject to preferential assignment opportunities, and subjective ranking largely influenced by whether you're in favor with the ranking management. Talent, hard work, amount of work product, quality of work, are not the main determinants of success. Sadly, having the ""right"" corporate appearance and image carry more weight in long-term success than technical or professional skills and production. For most employees, raises are mere cost of living adjustments. The few in the top get the vast lions share of promotions and advancement. The lower half of the rank group will get virtually nothing annually and maybe a one percent raise every 18 months to two years. Notwithstanding the fact that everyone they hire is an academic and professional standout just to get hired in the first place. The company is a morale killer. Stock has not performed and has lost value for over ten years running. The company is in decline.5 people found this review helpfulHelpfulShareRepor";0.91;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;young engineer @ exxon;"-good benefits for new parents (8 weeks paid for all parents, additional 6 for moms; allow up to 2 years leave and 2 years part-time work) -fairly flexible - policies support remote work, flexing time to meet personal needs during the week - but not always supported in practice";#NOM?;0.64;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExxonMobil;Not a place for diversity;Salary tied to industry average;Basically employees are on a one-contract. One year of underperformance, you will be released.;0.0;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
