Company;Date;Score;Review;Criteria
Duke;25/02/2020;94.60627319404199;Pay and benefits were great for the area I was in. Health insurance through United was a bit high for two people at around 425 every pay period. Good training.;Insurance
Duke;12/10/2019;82.84784708454069;Health Benefits, management, helpful associates;Insurance
Duke;23/08/2019;84.8812973412638;Benefits and 401K are really good.;Insurance
Duke;08/03/2019;97.00574449697523;Good benefits, multiple levels of health insurance available. Opportunities to move around within the company. Assisted with professional development well (conferences, professional dues and college course reimbursement, etc). Nice bonus based on company performance and personal performance.;Insurance
Duke;30/08/2019;88.54150780336536;Great health benefits, work/life balance depending which department you work;Insurance
Duke;09/07/2019;89.47689492145798;Great salary and health benefits! That's it;Insurance
Duke;31/03/2016;91.35783640892687;Duke is a laid back environment. Most of the company leaves by noon on Fridays and everyone works relaxed hours. Benefits are good, aside from the health insurance.;Insurance
Duke;14/12/2018;89.19221188551676;Pay and bonuses are excellent. Decent medical/dental/vision coverage.;Insurance
Shell;22/09/2021;78.38442377103351;401K match, Time Off, Health Benefits, Fitness Center, Full restaurant and cafeteria, state of the art facilities, diversity, Education Reimbursement, Insurance;Insurance
Shell;08/07/2021;71.69945605205633;competitive pay, pension, 401k contribution, discount stock, health benefits;Insurance
Shell;15/04/2021;86.08103299273044;The company offers really good health benefits;Insurance
Shell;14/01/2021;68.72045142595701;Growth opportunityFlexible benefitFamily health planVacation time;Insurance
Shell;13/01/2021;64.35870062528596;Pay, health benefits, 401 k,;Insurance
Shell;20/12/2020;87.43836103909308;Second-to-none Employees Benefits (PTO, 401k Company Match, Annual Bonus, Health Coverage, Life Insurance)!;Insurance
Shell;08/12/2020;88.54150780336536;Great salary Benefits including 401k and pension;Insurance
Shell;11/08/2020;82.81226170504804;Really awesome medical and life insurance;Insurance
EnterpriseProducts;29/09/2021;90.62071069086471;Pay is good and benefits are second to none. Health insurance costs less with twice the coverage of my previous employer. Heavily subsidized parking or free bus passes for commuters.;Insurance
EnterpriseProducts;19/04/2021;71.69945605205633;Good insurance and decent amount of PTO;Insurance
EnterpriseProducts;26/08/2014;98.11905851253114;Pay is excellent after you complete your training, although it is low to start. Vacation benefits are in line with competition, Health insurance and benefits package are pretty good. Most of the employees are wonderful to work with, company provided truck very nice to have.;Insurance
EnterpriseProducts;26/12/2015;95.84159422500127;Good pay. Great health insurance. Long-term incentives once you hit a certain level are nice.;Insurance
EnterpriseProducts;03/08/2018;81.07874536119161;Good pay and benefits such as 401K, insurance, health, dental and more.;Insurance
EnterpriseProducts;17/04/2017;97.40226729703623;They have great training program well compensated for work Amazing benefits from beginning date Excellent health ins, 401k Team effort everyday;Insurance
EnterpriseProducts;09/01/2016;91.35783640892687;Good health benefits, company 401k match up to 4% in your first 5 years, great work environment. Very lean company that's able to handle market and oil prices being down with limited layoffs.;Insurance
EnterpriseProducts;30/10/2012;94.39276091708606;CEO very knowledgeable leading the company to profitability. If all you want is a decent paycheck, then Enterprise is an OK place to work. Bus fare (or parking) is subsidized. Half day Fridays. Good health care. stock options. Pension 4% match on 401k;Insurance
EnterpriseProducts;11/03/2016;49.31116872553506;#NOM?;Insurance
EnterpriseProducts;08/07/2018;74.3581922627218;insurance is very good, they provide transportation to facilities.;Insurance
EnterpriseProducts;30/01/2016;79.78242082253064;Benefits are fair as far as insurance and time off;Insurance
EnterpriseProducts;28/12/2014;88.54150780336536;Great insurance and benefits. Work Schedule;Insurance
EnterpriseProducts;25/02/2016;88.54150780336536;Company offers great Benefits, insurance, 401K;Insurance
GeneralElectric;18/09/2021;71.69945605205633;Good health insurance, amd flexable;Insurance
GeneralElectric;06/06/2021;74.41919577042347;Close to home, family ran, health insurance, animal friendly Place to grow;Insurance
GeneralElectric;18/06/2021;83.39687865385594;Structured Good benefits: medical, dental 401k Multiple businesses and global;Insurance
GeneralElectric;23/07/2021;87.08250724416655;Excellent Health and other Benefits for employees;Insurance
GeneralElectric;09/06/2021;49.31116872553506;Health Insurance and the 401K Match;Insurance
GeneralElectric;28/01/2021;92.79141883991664;-) Health care insurance is very generous compared to other companies -) 401K matching -) Work & life balance before COVID -) Opportunities to pivot and try different roles if you're early in your career;Insurance
GeneralElectric;25/02/2021;44.09028519139851;Pay, PTO, insurance, matching investments;Insurance
GeneralElectric;31/01/2021;84.4288546591429;Solid 401k Match Great Work Life Balance;Insurance
GeneralElectric;11/04/2021;71.69945605205633;Insurance was good and h.r;Insurance
GeneralElectric;24/03/2021;86.68090081846373;Insurance, benefits, bonuses, management style;Insurance
GeneralElectric;11/01/2021;94.60627319404199;Good Health Care Benefits, Good Work life banlance;Insurance
GeneralElectric;15/09/2020;88.87702709572469;Flexible working environment and good health benefit;Insurance
GeneralElectric;11/12/2019;94.84520359920697;Cutting edge technology, advanced engineering. Cincinnati are has great wellness medical center that provide many free heath, nutritional and other health screening services.;Insurance
GeneralElectric;10/11/2020;71.69945605205633;Good health insurance and 401k match;Insurance
GeneralElectric;28/02/2020;81.07874536119161;Benefits and good pay 401k and health coverage;Insurance
Aramco;12/02/2021;88.54150780336536;Great benefits, medical and vacation days;Insurance
Aramco;07/11/2018;95.5721620659855;Good salary great health insurance good benefits;Insurance
Aramco;11/02/2016;49.31116872553506;Money, Vacation, Health insurance and Life style;Insurance
Aramco;24/08/2021;80.44329215596565;well paid good health insurance;Insurance
Aramco;09/08/2021;97.52935793808143;Great positive environment, vast range of resources for development, good healthcare insurance, great pay, fair promotions, possibility for assig nment / develop ment..etc;Insurance
Aramco;28/06/2021;82.28356463830005;Robust medical insurance, good retirement plans;Insurance
Aramco;06/06/2021;97.40226729703623;Great benefits (e.g 401 k, stock options, company bonuses, family health Care). High emphases on training and safety.;Insurance
Aramco;09/06/2021;74.41919577042347;Salary, Health Care, Training, Living Cost;Insurance
Aramco;06/02/2021;90.35636215749074;Great environment to succeed in your career;Insurance
Aramco;03/01/2021;88.87702709572469;Medical insurance high pay bonus annual reward;Insurance
Aramco;22/09/2020;84.8812973412638;Health Care Insurance at John Hopkins hospital The Company is very fair with its employees;Insurance
Aramco;10/08/2020;68.72045142595701;Reasonable retirement and medical benefits;Insurance
Aramco;14/06/2020;86.2640435158355;It's save and become good salery and insurance;Insurance
Aramco;10/02/2020;71.69945605205633;Good Work life balance Health insurance;Insurance
Aramco;19/01/2020;80.44329215596565;- health care is good - you can leave work at 4. Any extra work can be demanded as overtime (sometimes);Insurance
Aramco;18/01/2020;97.07691525596056;salary and benefits and holidays good free medical care and subsidised dental. great amenities for when you were not working. Amazing sport and recreation. every club you can imagine;Insurance
Aramco;01/09/2019;71.69945605205633;Good salary and health insurance;Insurance
Aramco;12/05/2019;83.92049209496213;Job security and medical care;Insurance
Aramco;26/03/2019;79.09613136088659;Good medical insurance, big company have its own aviation which ypu can fly in, acceptable pay if you compare it to working in the government;Insurance
Aramco;22/02/2019;94.84520359920697;great insurance and retirement benefits awesome 401K;Insurance
Aramco;08/02/2019;74.41919577042347;Good environment Career development Competitive pay;Insurance
Aramco;14/02/2019;83.39687865385594;#NOM?;Insurance
Aramco;03/06/2018;68.72045142595701;Training and preparing employees for work. Benefits including expansive medical insurance and housing options. Facilities and camps. Systems and basically non existence bureaucracy Reputation;Insurance
Aramco;23/05/2018;88.54150780336536;Great benefits includes health coverage;Insurance
Chevron;22/06/2021;68.72045142595701;401k program medical benefits/ insurance trainin & development;Insurance
Chevron;18/06/2021;93.15743988612681;Good company with great compensation package, health benefits, and pension plan.;Insurance
Chevron;01/06/2021;88.54150780336536;Great benefits regarding health insurance.;Insurance
Chevron;10/03/2021;88.54150780336536;Great benefits including 401k match, work/life balance;Insurance
Chevron;11/01/2021;81.07874536119161;The 401k match and pension are great;Insurance
Chevron;14/01/2021;88.54150780336536;Great salary and benefits including insurance and retirement;Insurance
Chevron;11/11/2020;81.68878043820855;Salary. Benefits. Insurance. Location. Credit Union.;Insurance
Chevron;15/10/2020;86.2640435158355;Benefits, bonus, vacation, Health plan,;Insurance
Chevron;12/10/2020;92.61857556809515;Great Benefits: - Healthcare - Retirement - PTO Opportunities to change role at company;Insurance
Chevron;28/09/2020;88.54150780336536;"Great benefits (U-time policy where you get time back as vacation if you work during your days off, etc; Pension/401K/Insurance)";Insurance
Chevron;30/05/2020;96.00935387118092;Great place to work, truly care about safety and health of workforce.;Insurance
Chevron;27/03/2020;91.34258553200144;good health benefits and retirement plans. really good work/life balance;Insurance
Chevron;17/07/2019;99.81190585125313;I recommend this job to anyone. If anyone is thinking of applying to this job go for it but make sure it's for a corporate station. I worked for chevron for 7 years. I started at the end of my senior year of high school and left a year and a half after I graduated college. I really loved that chevron and my manager were able to work with my school schedule no matter what it was. They understood that school was my priority. Not only did they help with my schedule but they also paid 75% of my tuition (limit per year). The company really cares for their employees and all kinds of bosses come to see the store. I've met the president of Chevron (not many companies take the time to meet their workers). They offer so many resources and opportunities for employees. Even the DO's for my area were amazing. Chevron was just such a caring company. AND I love and miss their health care and there 401 K benefit. (after writing the review I'm considering going back);Insurance
Chevron;16/10/2018;81.07874536119161;Great inclusive environment and 401k match.;Insurance
Chevron;24/09/2018;83.39687865385594;Good benefits in the form of pension, 4 to 1 401K match, relatively inexpensive medical insurance. Potential to make hundreds of thousands a year if you can climb the ladder enough.;Insurance
Chevron;13/03/2018;93.15743988612681;Great health benefits and good compensation;Insurance
Veolia;25/04/2021;90.35636215749074;Good safety culture and health benefits;Insurance
PGandE;12/10/2021;83.39687865385594;- Good benefits include 401k match & pension.;Insurance
PGandE;15/10/2021;91.35783640892687;great benefits: 401K, pension, health, dental, vision, accrual-based time-off;Insurance
PGandE;24/08/2021;97.7632047176046;WLB (team dependent), awesome benefits (health, 401k match 75% up to 8% if your pretax contributions, pension), really care about employees well being, typically pretty smart folks;Insurance
PGandE;01/09/2021;49.31116872553506;Company will provide a lot of mental health resources facilitate big changes;Insurance
PGandE;31/08/2021;81.07874536119161;Good pay, health benefits and vacation days.;Insurance
PGandE;10/04/2021;96.58888719434702;Great Employee benefits including health and wellness, 401K, pension. Opportunities to move around company for growth and development;Insurance
PGandE;11/04/2021;94.47918255299679;Great health benefits... Was an amazing company to work for at one time.;Insurance
PGandE;02/02/2021;92.80158609120024;Benefits including health care, bonuses, salary;Insurance
PGandE;23/01/2021;86.2640435158355;Dependable job. Insurance was great until Obama ruined it. Great officers - team players.;Insurance
PGandE;18/08/2020;68.72045142595701;Dental / Health Insurance Education Benefits Employee Discounts Empowerment Management Work / Life Balance;Insurance
PGandE;30/08/2019;94.7282802094454;Great benefits and incentives to maintain healthy habits. The company really motivates you to do volunteer work and donate blood;Insurance
PGandE;21/03/2019;95.663667327538;Good health benefits. Annual bonus. Decent number of talented people.;Insurance
Vestas;08/09/2021;97.40226729703623;Great benefits compared to other companies such as 401 and health benefits. Easy to move up to higher positions and great management.;Insurance
Vestas;19/07/2021;83.39687865385594;Benefits are good health insurance dental;Insurance
Vestas;10/05/2021;91.35783640892687;The health care benefits are good;Insurance
Vestas;21/11/2020;84.4288546591429;Easy Job. Will only get fired for attendance Breaking something Alright pay Good insurance Good for beginners;Insurance
Vestas;28/12/2019;87.46886279294394;Better than average pay to start, super cheap health insurance;Insurance
Vestas;09/08/2019;91.82552996797315;Good people. Lots of overtime if you want it. Great benefits. Free health insurance for single people. Catered lunches. Year end giveaways. Really hard to get fired.;Insurance
BP;16/10/2021;49.31116872553506;Salary lunch people office insurance;Insurance
BP;21/08/2021;69.74226017996035;Stability Learning Healthy Exposure Agility;Insurance
BP;19/11/2020;85.38457627980276;Salary, benefit, Health Perks, Pensions are all good. 401K contribution is up to 7%.;Insurance
BP;01/10/2020;96.08560825580805;- Benefits (excellent health care, 401k match, pension) - New CEO is a remarkable leader;Insurance
BP;03/01/2021;88.54150780336536;great benefits (medical, retirement, etc.);Insurance
BP;17/02/2020;88.54150780336536;Great compensation. Cadillac health, benefits, etc.;Insurance
BP;23/08/2019;81.68878043820855;best insurance and the food;Insurance
BP;14/10/2018;68.72045142595701;Compensation, health insurance, relocation benefits.;Insurance
BP;20/04/2018;96.71597783539221;This company has awesome benefits: 7% match t 401k and 7% profit sharing contribution to a pension plan. After 50, you start accumulating health insurance benefits for retirement.;Insurance
BP;14/10/2018;68.72045142595701;Compensation, health insurance, relocation benefits.;Insurance
BP;20/04/2018;96.71597783539221;This company has awesome benefits: 7% match t 401k and 7% profit sharing contribution to a pension plan. After 50, you start accumulating health insurance benefits for retirement.;Insurance
BP;26/02/2015;90.35636215749074;Good benefits (401k with company matching up to 6%), pension, insurance, educational assistance, training, etc. Some groups have 9/80 work schedule and others may allow for other flexible working schedules.;Insurance
BP;10/03/2017;94.21991764526463;Good benefits (pension, 401k matching, health, vision dental, FMLA plan, etc...). They also have competitive pay , bonus plan, and stock options.;Insurance
BP;04/07/2015;99.09003101011642;excellent benefit (medical, dental, vision, 401K, pension, retirement), good technical training, great people, friendly work environment, open communication, wide network opportunities. Great supporter of events to service local communities.;Insurance
BP;11/11/2011;95.75517258909052;The salary is good. The advance training your recieve is excellent. The insurance is good as is the medical care;Insurance
BP;28/07/2016;87.40785928524224;Freedom, not micromanaged, nice customers, steady check, regular hours, Christmas and Thanksgiving off (no pay but still that's good for gas station) health benefits and 401k;Insurance
BP;02/02/2016;98.00213512276956;great benefits: 401k (3% match) , amazing HMO health care (starting at $200 for a couple), 5 days EXPTO, base 2 weeks vacation, holidays off, 2 personal choice holidays (extra 2 days vacation), work from home (1-2 days per week);Insurance
BP;01/02/2016;97.21417314828938;Company has good benefits (good 401k match, pension, decent health care). Cafeteria on site. Allow for flexible work hours (not REQUIRING 8-4 or something like that).;Insurance
BP;21/10/2015;87.83996746479592;One team environment. Company promotes health/fitness with great workout facilities.;Insurance
BP;04/07/2015;99.09003101011642;excellent benefit (medical, dental, vision, 401K, pension, retirement), good technical training, great people, friendly work environment, open communication, wide network opportunities. Great supporter of events to service local communities.;Insurance
BP;26/02/2015;90.35636215749074;Good benefits (401k with company matching up to 6%), pension, insurance, educational assistance, training, etc. Some groups have 9/80 work schedule and others may allow for other flexible working schedules.;Insurance
BP;05/09/2014;97.21417314828938;Good pay. Good benefits -pension and 401k. Below average insurance. Good place to work for availability to gym, medical facility. Smart and talented workers.;Insurance
BP;31/07/2014;75.26816125260537;Cordial/collegial atmosphere Employee-friendly compensation and benefits(100% employer funded pension + 401(k) + 2 free onsite health clubs + onsite chidcare + onstie clinic, etc.);Insurance
BP;03/03/2014;91.79502821412231;Great salary and benefits, Health Insurance, etc. Very flexible company.;Insurance
BP;06/02/2013;93.15743988612681;Great health benefits. Westlake campus in Houston has two gyms on-site. A new item from 2012 is the 'wellness' center that you see a doctor for $10 and the pharmacy provides prescriptions at mail order prices without the wait. The campus also has a on-site daycare for dependants.;Insurance
BP;22/01/2013;92.61857556809515;Work/life balance is great, and the health insurance is the best.;Insurance
DTE;19/08/2021;97.7632047176046;Great work life balance and relaxed culture. Company takes care of employees through various amenities. Offers 401K match and great health benefits.;Insurance
DTE;01/02/2021;95.0688831274465;The culture emphasizes things that are important: safety, health & wellness, engagement, efficiency and community and customer service.;Insurance
DTE;16/12/2019;49.31116872553506;Stability, work-life balance, health insurance, 401K;Insurance
Marathon;20/08/2021;96.31437140968941;good schedule / good co workers / nice trucks / good supervisors/ good insurance;Insurance
Marathon;08/07/2021;76.0866249809364;Great Benefits. Medical, 401k, PTO, Sick Allowances;Insurance
Marathon;05/08/2021;93.4827919272025;Great retirement and health insurance. Good pay. Friendly associates. If you can get in with the in crowd you can write your own check.;Insurance
Marathon;25/07/2021;71.69945605205633;Steady check, good insurance and all expenses paid work;Insurance
Marathon;12/07/2020;97.42260179960348;I'm very impressed with how MPC is handling the current pandemic, especially in San Antonio, where numbers are continuing to spike. We haven't been forced back to work as with one of our local competitors.We having been working remotely for months and our IT and infrastructure teams have done a great job supporting those capabilities.Great pay but I think the benefits department could use a little work on it health care plans. We have lots of employees and that gives us leverage during negotiations with insurance companies, but I'm not sure it's idea effectively.;Insurance
Marathon;04/04/2021;49.31116872553506;Pension, Dental, Medical, Company 401k Match;Insurance
Marathon;11/12/2020;81.07874536119161;Good pay and benefits including medical and dental;Insurance
Marathon;13/03/2020;76.87967058105842;Stp bonus, insurance on family;Insurance
Marathon;05/10/2020;83.39687865385594;Benefits of insurance are good.;Insurance
ExxonMobil;13/10/2021;93.9403182349652;Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.;Safety
ExxonMobil;10/09/2021;89.50231304966701;Size, salary and benefits, opportunities, safety culture;Safety
ExxonMobil;17/08/2021;97.57002694321592;Good pay and benefits, stability (generally), opportunities to travel, smart people, nice facilities, values safety of employees;Safety
ExxonMobil;04/06/2021;58.35493874231102;Safety comes first, Nobody Gets Hurt is a real, achievable goal in the Company;Safety
ExxonMobil;01/07/2021;82.84784708454069;-Benefits (pre-covid) -Pension -Work life balance if you establish that boundary early -Safety as a priority;Safety
ExxonMobil;19/05/2021;92.53723755782623;Collaborative, highly talented peole, safety focused;Safety
ExxonMobil;24/05/2021;97.72761933811195;Work with amazing and dedicated people. Good benefits and compensation. Dedicated to safety.;Safety
ExxonMobil;08/03/2021;78.38442377103351;Flexible Work Environment, Safety, Co-workers;Safety
ExxonMobil;09/02/2021;97.35143104061815;- Ability to rotate through assignments throughout your career - Multinational company with exposure across the world - Very fancy campus and great focus on ergonomic safety - Great benefits, and a pension!;Safety
ExxonMobil;20/01/2021;95.84159422500127;Great Pay and Excellent Benefits. High emphasis on safety, environmental stewardship, and diversity.;Safety
Phillips66;27/09/2021;94.60627319404199;Great benefits/offer package and excellent safety culture.;Safety
Phillips66;04/08/2021;97.7632047176046;Great benefits, good pay, good location, strong safety culture, room for advancement;Safety
Phillips66;27/07/2021;89.19221188551676;Their message on promoting a safety culture is clear and they practice what they preach.;Safety
Phillips66;09/06/2021;70.73865080575467;Culture is built around safety.;Safety
Phillips66;20/04/2020;90.82405571653706;Very good pay, good people, safety first;Safety
Phillips66;11/10/2019;98.84601697930964;"Benefits are robust and competitive; gorgeous HQ building with many amenities, employees are warm and supportive, strong vision from CEO and executive leadership; very strong safety culture";Safety
Conocophilips;09/09/2021;97.6259468252758;Held up to their core values: SPIRIT (Safety, People, Integrity, Responsible, Innovative, Teamwork). I was proud to be of part of COP for 29+ years.;Safety
Conocophilips;19/02/2021;93.9403182349652;Family friendly, great focus on safety;Safety
Conocophilips;17/11/2020;94.60627319404199;Great people to work with, excellent safety culture;Safety
Conocophilips;14/07/2019;97.99705149712776;Great salary and benefits! Excellent fitness center on-site at main office in Houston. Strong emphasis on safety and professionalism.;Safety
Conocophilips;10/08/2018;82.84784708454069;Emphasis on safety and personal growth.;Safety
Conocophilips;10/02/2017;95.27731177876062;"Benefits are definitely great; few companies still offer pension plans nowadays. Access to technology (SME's and software) is one of the major pros for working at a large E&P. Focus on safety culture is genuine by most employees";Safety
Conocophilips;23/01/2017;85.83193533628184;Vacation, pay, bonuses, safety training;Safety
Conocophilips;19/01/2017;94.47918255299679;"One of my favorite ""easy"" jobs coming out of school. Company cared about safety first and foremost.";Safety
Conocophilips;25/01/2017;93.32519953230644;Nice pay, safety culture, good benefits;Safety
Conocophilips;27/10/2016;97.25992577906565;Great work environment, safety is the top priority, which is great! They staff up when times are good.;Safety
Conocophilips;20/09/2016;93.4827919272025;Great People and Good safety culture.;Safety
